film_id,title,year,reviews,funniness
c028,Late Bakery,2012,"The cast is clearly enjoying itself. An inspired hour that went past in ten minutes. The timing is hilarious and never lets up. I found the whole thing charming. The soundtrack is doing a lot of work. The script is delightful and never coasts. Ninety minutes, no padding.",9.8
c029,Wild Brunch,2000,"The first act takes its time. Genuinely hilarious from the first scene. Ninety minutes, no padding. Shot like a sitcom, which mostly works.",5.0
c030,The Hour,2020,The trailer gives away the best joke. Genuinely charming from the first scene. The gags are vulgar and proud of it.,3.7
c031,Last Manager,2020,The ending is laboured. That dinner-party sequence is clever. It gets tedious once the premise runs out. The soundtrack is doing a lot of work. I found the whole thing riotous.,3.9
c032,Slow Cousins,2008,"More juvenile than it needed to be. Shot like a sitcom, which mostly works. The third act gets crude. The middle hour is boring. It gets laboured once the premise runs out. I found the whole thing witty. Genuinely clever from the first scene. Ninety minutes, no padding. Quietly riotous in a way I did not expect.",6.5
c033,Last Brunch,2017,"The third act gets juvenile. The ending is tedious. Genuinely inspired from the first scene. Every punchline is boring. I saw it in a full theatre, which helped. The gags are gross and proud of it.",3.6
c034,Great Brunch,2005,"The timing is charming and never lets up. The gags are juvenile and proud of it. I found the whole thing witty. More gross than it needed to be. Not for everyone, but I laughed.",7.0
c035,Second Bakery,2004,"That dinner-party sequence is inspired. Quietly gleeful in a way I did not expect. Not for everyone, but I laughed. I found the whole thing delightful. The script is riotous and never coasts. An unfunny retread of better comedies.",8.1
c036,Spare Cousins,2011,"Shot like a sitcom, which mostly works. One crude sequence I could have done without. More vulgar than it needed to be. I found the whole thing riotous. Every punchline is boring. The script is witty and never coasts. The ending is unfunny. The gags are smutty and proud of it. Genuinely delightful from the first scene. That dinner-party sequence is clever.",6.5
c037,Summer Deposit,1998,The script is inspired and never coasts. I found the whole thing charming. The cast is clearly enjoying itself. The gags are smutty and proud of it. The timing is witty and never lets up. A riotous hour that went past in ten minutes. The third act gets vulgar. The director trusts the actors. The middle hour is unfunny.,7.7
c038,Second Wedding,2001,"A gleeful hour that went past in ten minutes. The middle hour is boring. The timing is witty and never lets up. The gags are smutty and proud of it. One crude sequence I could have done without. The supporting cast is hilarious. Not for everyone, but I laughed. Quietly charming in a way I did not expect. More gross than it needed to be.",7.3
c039,Happy Wedding,2013,"The first act takes its time. A laboured retread of better comedies. The director trusts the actors. That dinner-party sequence is charming. I found the whole thing witty. A hilarious hour that went past in ten minutes. The third act gets smutty. Genuinely gleeful from the first scene. Shot like a sitcom, which mostly works.",7.3
c040,Last Reunion,2023,Every punchline is boring. The director trusts the actors. The timing is charming and never lets up. Worth seeing with an audience. The script is inspired and never coasts. The gags are vulgar and proud of it. The soundtrack is doing a lot of work. Quietly hilarious in a way I did not expect. The supporting cast is gleeful.,8.9
c041,Long Manager,2015,The director trusts the actors. The script is charming and never coasts. A vulgar streak a mile wide.,4.2
c042,Happy Brunch,2018,The cast is clearly enjoying itself. A gleeful hour that went past in ten minutes. It gets predictable once the premise runs out.,4.7
c043,Deep Bakery,2014,"The trailer gives away the best joke. Shot like a sitcom, which mostly works. It gets laboured once the premise runs out. Quietly clever in a way I did not expect. The ending is unfunny.",2.8
c044,Last Garden,2021,The middle hour is predictable. The gags are crude and proud of it. The cast is clearly enjoying itself. Genuinely delightful from the first scene.,5.7
c045,Late Wedding,2001,"The director trusts the actors. The soundtrack is doing a lot of work. A laboured retread of better comedies. A riotous hour that went past in ten minutes. More smutty than it needed to be. Not for everyone, but I laughed. A crude streak a mile wide. Genuinely witty from the first scene.",6.7
c046,Deep Brunch,2000,"A smutty streak a mile wide. One gross sequence I could have done without. Shot like a sitcom, which mostly works. Every punchline is predictable. A charming hour that went past in ten minutes. Worth seeing with an audience.",4.1
c047,Deep Roommate,2022,The trailer gives away the best joke. The gags are smutty and proud of it. It gets boring once the premise runs out. One vulgar sequence I could have done without. The supporting cast is gleeful. More crude than it needed to be.,6.5
c048,Late Reunion,2006,"One smutty sequence I could have done without. That dinner-party sequence is inspired. The script is witty and never coasts. The timing is delightful and never lets up. Ninety minutes, no padding. I found the whole thing riotous. It gets tedious once the premise runs out.",8.0
c049,Happy Office,2015,Genuinely inspired from the first scene. The soundtrack is doing a lot of work. The script is delightful and never coasts.,6.8
c050,The Cousins,2020,The timing is charming and never lets up. Every punchline is laboured. I found the whole thing gleeful. One smutty sequence I could have done without. A boring retread of better comedies. Quietly riotous in a way I did not expect. The third act gets juvenile. The trailer gives away the best joke. A crude streak a mile wide. The soundtrack is doing a lot of work. Genuinely delightful from the first scene.,7.6
c051,The Wedding,2006,The cast is clearly enjoying itself. That dinner-party sequence is delightful. The first act takes its time. The supporting cast is clever.,6.9
c052,Wild Lease,2010,The gags are crude and proud of it. The ending is predictable. The third act gets smutty. The director trusts the actors.,3.1
c053,Great Cabin,2020,"The timing is charming and never lets up. I saw it in a full theatre, which helped. Worth seeing with an audience. That dinner-party sequence is clever. The cast is clearly enjoying itself. The ending is laboured. The script is inspired and never coasts.",4.8
c054,Small Holiday,2008,The third act gets gross. Worth seeing with an audience. The timing is inspired and never lets up. The cast is clearly enjoying itself. A juvenile streak a mile wide. The trailer gives away the best joke.,6.8
c055,Long Lease,2001,"The timing is inspired and never lets up. Not for everyone, but I laughed. The soundtrack is doing a lot of work. The third act gets smutty. Genuinely witty from the first scene. The director trusts the actors. One gross sequence I could have done without. The script is gleeful and never coasts.",6.6
c056,Summer Roommate,1998,"The first act takes its time. The soundtrack is doing a lot of work. Every punchline is laboured. Not for everyone, but I laughed.",2.7
c057,Deep Garden,1998,The timing is gleeful and never lets up. That dinner-party sequence is charming. The ending is predictable. More smutty than it needed to be. The soundtrack is doing a lot of work. A gross streak a mile wide. I found the whole thing hilarious.,7.4
c058,Happy Garden,2010,"It gets predictable once the premise runs out. A gross streak a mile wide. A laboured retread of better comedies. The supporting cast is riotous. Quietly witty in a way I did not expect. More vulgar than it needed to be. I found the whole thing clever. The trailer gives away the best joke. Every punchline is tedious. Shot like a sitcom, which mostly works. The timing is delightful and never lets up.",6.6
c059,Slow Office,2007,A charming hour that went past in ten minutes. The script is gleeful and never coasts. The soundtrack is doing a lot of work. More crude than it needed to be. One smutty sequence I could have done without.,7.1
c060,Last Wedding,1998,"The supporting cast is inspired. The script is charming and never coasts. Every punchline is tedious. The soundtrack is doing a lot of work. Quietly hilarious in a way I did not expect. Ninety minutes, no padding.",4.4
c061,Quiet Detour,2015,"The timing is charming and never lets up. A vulgar streak a mile wide. The script is clever and never coasts. A delightful hour that went past in ten minutes. It gets unfunny once the premise runs out. The ending is boring. The supporting cast is riotous. A predictable retread of better comedies. I saw it in a full theatre, which helped.",5.3
c062,Last Detour,2001,"Shot like a sitcom, which mostly works. The trailer gives away the best joke. I found the whole thing delightful.",3.4
c063,Deep Wedding,2004,"Not for everyone, but I laughed. Genuinely witty from the first scene.",6.0
c064,Small Wedding,2011,"Quietly clever in a way I did not expect. Shot like a sitcom, which mostly works. The soundtrack is doing a lot of work. Genuinely inspired from the first scene.",5.6
c065,Last Bakery,2004,"Quietly delightful in a way I did not expect. A crude streak a mile wide. Not for everyone, but I laughed. That dinner-party sequence is inspired. The script is clever and never coasts. One smutty sequence I could have done without.",6.3
c066,The Roommate,2004,"More crude than it needed to be. A juvenile streak a mile wide. One smutty sequence I could have done without. Quietly gleeful in a way I did not expect. The script is riotous and never coasts. I saw it in a full theatre, which helped. The middle hour is predictable. The timing is hilarious and never lets up.",8.0
c067,Long Wedding,2010,"The middle hour is laboured. The supporting cast is hilarious. The trailer gives away the best joke. I saw it in a full theatre, which helped. That dinner-party sequence is clever. Shot like a sitcom, which mostly works.",6.2
c068,Wild Wedding,2001,The timing is clever and never lets up. The third act gets gross. A charming hour that went past in ten minutes. A vulgar streak a mile wide. The first act takes its time.,5.5
c069,Late Detour,1998,"The soundtrack is doing a lot of work. That dinner-party sequence is gleeful. The script is inspired and never coasts. The gags are juvenile and proud of it. Genuinely witty from the first scene. The ending is tedious. I saw it in a full theatre, which helped. Quietly hilarious in a way I did not expect.",9.1
c070,Happy Reunion,2009,"The cast is clearly enjoying itself. Ninety minutes, no padding. The supporting cast is riotous. A laboured retread of better comedies. Worth seeing with an audience. Every punchline is predictable. Genuinely gleeful from the first scene. It gets tedious once the premise runs out.",4.0
c071,Late Manager,1999,"Ninety minutes, no padding. More crude than it needed to be. The cast is clearly enjoying itself. The supporting cast is hilarious. Not for everyone, but I laughed. Genuinely inspired from the first scene. A delightful hour that went past in ten minutes. The timing is clever and never lets up.",8.1
c072,Long Brunch,2017,"Every punchline is predictable. I saw it in a full theatre, which helped. I found the whole thing gleeful. One crude sequence I could have done without. It gets unfunny once the premise runs out. The soundtrack is doing a lot of work. That dinner-party sequence is inspired. The first act takes its time.",5.1
c073,Spare Brunch,2011,A juvenile streak a mile wide. Genuinely witty from the first scene. The trailer gives away the best joke. The gags are gross and proud of it. The script is gleeful and never coasts.,6.2
c074,Great Lease,2015,"An unfunny retread of better comedies. I found the whole thing witty. I saw it in a full theatre, which helped. More vulgar than it needed to be. One gross sequence I could have done without. The middle hour is predictable.",2.4
c075,Great Bakery,2018,"Ninety minutes, no padding. The timing is riotous and never lets up. A vulgar streak a mile wide. The third act gets gross. The first act takes its time. An unfunny retread of better comedies. The middle hour is predictable. The ending is boring.",2.9
c076,Summer Office,2007,"Quietly delightful in a way I did not expect. The trailer gives away the best joke. One vulgar sequence I could have done without. I saw it in a full theatre, which helped. Worth seeing with an audience. The gags are juvenile and proud of it. More crude than it needed to be. Every punchline is predictable.",7.0
c077,Happy Hour,2008,The soundtrack is doing a lot of work. A smutty streak a mile wide. A boring retread of better comedies. The script is gleeful and never coasts.,5.3
c078,The Garden,2000,The trailer gives away the best joke. The timing is charming and never lets up. The script is delightful and never coasts. The cast is clearly enjoying itself. Every punchline is predictable. The third act gets smutty. Quietly gleeful in a way I did not expect. A hilarious hour that went past in ten minutes.,7.4
c079,Spare Hour,2003,"Worth seeing with an audience. Shot like a sitcom, which mostly works. The trailer gives away the best joke. An inspired hour that went past in ten minutes. It gets unfunny once the premise runs out. Every punchline is predictable. The gags are juvenile and proud of it.",4.0
c080,Great Office,2016,Genuinely gleeful from the first scene. That dinner-party sequence is delightful. I found the whole thing clever. One juvenile sequence I could have done without. A hilarious hour that went past in ten minutes. The cast is clearly enjoying itself.,9.0
c081,Quiet Cousins,2001,"Every punchline is laboured. Worth seeing with an audience. A boring retread of better comedies. Shot like a sitcom, which mostly works. Quietly inspired in a way I did not expect. Ninety minutes, no padding.",3.6
c082,Long Roommate,2005,"Shot like a sitcom, which mostly works. The trailer gives away the best joke. Genuinely delightful from the first scene.",5.9
c083,Slow Roommate,1998,It gets laboured once the premise runs out. The first act takes its time. Every punchline is unfunny. Genuinely riotous from the first scene. The third act gets gross. The ending is boring.,3.3
c084,The Manager,2016,"The ending is unfunny. A boring retread of better comedies. Shot like a sitcom, which mostly works. Every punchline is tedious.",2.3
c085,Slow Wedding,2013,"The supporting cast is gleeful. Genuinely witty from the first scene. The middle hour is boring. I saw it in a full theatre, which helped. Quietly charming in a way I did not expect. The trailer gives away the best joke.",6.8
c086,Slow Cabin,2020,"The middle hour is boring. The trailer gives away the best joke. An unfunny retread of better comedies. Ninety minutes, no padding. I found the whole thing charming. One juvenile sequence I could have done without. It gets tedious once the premise runs out. Worth seeing with an audience.",2.7
c087,Happy Holiday,2008,"Shot like a sitcom, which mostly works. Ninety minutes, no padding. Quietly riotous in a way I did not expect. One crude sequence I could have done without. Genuinely inspired from the first scene. That dinner-party sequence is delightful. The first act takes its time.",4.7
c088,Wild Cousins,2010,Genuinely hilarious from the first scene. The third act gets vulgar. More crude than it needed to be. The gags are smutty and proud of it. The director trusts the actors.,7.0
c089,Happy Bakery,2001,"Genuinely delightful from the first scene. I saw it in a full theatre, which helped. A charming hour that went past in ten minutes. A gross streak a mile wide. The script is gleeful and never coasts. The supporting cast is witty.",8.6
c090,Quiet Deposit,1999,"The trailer gives away the best joke. Not for everyone, but I laughed. The director trusts the actors.",5.2
c091,The Holiday,2022,"The supporting cast is clever. Every punchline is tedious. A hilarious hour that went past in ten minutes. The ending is laboured. The middle hour is predictable. The timing is charming and never lets up. Shot like a sitcom, which mostly works.",4.1
c092,Slow Bakery,2002,"The supporting cast is riotous. The middle hour is tedious. The gags are vulgar and proud of it. More crude than it needed to be. Shot like a sitcom, which mostly works. I saw it in a full theatre, which helped. A smutty streak a mile wide. The director trusts the actors. That dinner-party sequence is delightful.",7.5
c093,Summer Manager,2009,"A gleeful hour that went past in ten minutes. More gross than it needed to be. Genuinely witty from the first scene. The soundtrack is doing a lot of work. One juvenile sequence I could have done without. The gags are crude and proud of it. I saw it in a full theatre, which helped.",7.6
c094,Spare Reunion,2011,"The trailer gives away the best joke. Not for everyone, but I laughed. One vulgar sequence I could have done without. The gags are smutty and proud of it. A tedious retread of better comedies. Ninety minutes, no padding. The ending is boring.",3.8
c095,Bitter Wedding,2011,"Ninety minutes, no padding. Not for everyone, but I laughed. That dinner-party sequence is gleeful. The first act takes its time. Genuinely delightful from the first scene.",6.6
c096,The Cabin,2021,One juvenile sequence I could have done without. A crude streak a mile wide. The trailer gives away the best joke. Every punchline is unfunny. The middle hour is laboured.,3.7
c097,Second Holiday,2012,"I found the whole thing inspired. A juvenile streak a mile wide. More vulgar than it needed to be. The director trusts the actors. Ninety minutes, no padding. Shot like a sitcom, which mostly works. One gross sequence I could have done without.",5.2
c098,The Deposit,2008,"The gags are vulgar and proud of it. Not for everyone, but I laughed. The script is inspired and never coasts. I saw it in a full theatre, which helped. The ending is tedious. Worth seeing with an audience.",4.3
c099,Long Holiday,2021,"I saw it in a full theatre, which helped. I found the whole thing inspired. The soundtrack is doing a lot of work. Every punchline is unfunny. One juvenile sequence I could have done without. That dinner-party sequence is gleeful. The gags are crude and proud of it. The timing is riotous and never lets up. The supporting cast is delightful. It gets tedious once the premise runs out. The ending is laboured.",4.7
c100,Deep Lease,2011,The ending is predictable. Genuinely clever from the first scene. The supporting cast is hilarious. That dinner-party sequence is inspired. One juvenile sequence I could have done without. The gags are crude and proud of it. The cast is clearly enjoying itself. The timing is witty and never lets up. It gets tedious once the premise runs out. The middle hour is unfunny.,6.4
c101,Small Brunch,2003,"The third act gets vulgar. The ending is laboured. The director trusts the actors. The first act takes its time. The script is charming and never coasts. The middle hour is boring. Ninety minutes, no padding.",3.6
c102,Wild Detour,2000,One gross sequence I could have done without. A predictable retread of better comedies. Every punchline is boring. I found the whole thing riotous. The middle hour is tedious. Worth seeing with an audience. The director trusts the actors. Genuinely hilarious from the first scene.,4.1
c103,Bitter Detour,2023,"Every punchline is tedious. The middle hour is unfunny. The supporting cast is charming. Ninety minutes, no padding. More gross than it needed to be. The first act takes its time. One juvenile sequence I could have done without. The timing is clever and never lets up.",5.4
c104,Late Lease,2009,"Not for everyone, but I laughed. The cast is clearly enjoying itself. The timing is gleeful and never lets up. The soundtrack is doing a lot of work.",6.4
c105,Long Cabin,2023,"Genuinely riotous from the first scene. One vulgar sequence I could have done without. Not for everyone, but I laughed. More juvenile than it needed to be.",4.8
c106,Second Brunch,2021,"The director trusts the actors. The supporting cast is delightful. The script is riotous and never coasts. Shot like a sitcom, which mostly works.",7.0
c107,Great Hour,2010,"One gross sequence I could have done without. Genuinely delightful from the first scene. More juvenile than it needed to be. That dinner-party sequence is gleeful. Shot like a sitcom, which mostly works. A vulgar streak a mile wide. The script is clever and never coasts. Every punchline is tedious.",6.2
c108,Great Detour,1998,"The script is inspired and never coasts. I found the whole thing delightful. Genuinely witty from the first scene. Shot like a sitcom, which mostly works. The third act gets vulgar. One smutty sequence I could have done without. Quietly clever in a way I did not expect.",8.8
c109,Small Reunion,2001,Quietly delightful in a way I did not expect. A smutty streak a mile wide. A gleeful hour that went past in ten minutes. The timing is hilarious and never lets up. Worth seeing with an audience. I found the whole thing inspired. The cast is clearly enjoying itself.,8.2
c110,Small Manager,2001,"The middle hour is laboured. A clever hour that went past in ten minutes. The director trusts the actors. It gets unfunny once the premise runs out. Not for everyone, but I laughed. Every punchline is predictable.",3.4
c111,Deep Office,2015,"The first act takes its time. It gets unfunny once the premise runs out. Genuinely charming from the first scene. Quietly clever in a way I did not expect. A tedious retread of better comedies. I saw it in a full theatre, which helped. The soundtrack is doing a lot of work. That dinner-party sequence is hilarious.",5.0
c112,Bitter Reunion,2002,"The cast is clearly enjoying itself. Ninety minutes, no padding. More juvenile than it needed to be. The third act gets gross.",4.2
c113,Last Hour,2009,Genuinely clever from the first scene. The director trusts the actors. The supporting cast is gleeful.,7.2
c114,Spare Manager,2009,The middle hour is predictable. I found the whole thing inspired. The director trusts the actors. Worth seeing with an audience. The soundtrack is doing a lot of work.,4.2
c115,Small Hour,2006,"Ninety minutes, no padding. The ending is tedious. It gets unfunny once the premise runs out. A predictable retread of better comedies. The soundtrack is doing a lot of work. The third act gets juvenile.",2.2
c116,Quiet Wedding,2018,"The third act gets smutty. The ending is tedious. Ninety minutes, no padding. Shot like a sitcom, which mostly works. The gags are crude and proud of it. Genuinely delightful from the first scene. Quietly clever in a way I did not expect.",6.7
c117,Wild Cabin,2019,"An unfunny retread of better comedies. Worth seeing with an audience. The supporting cast is charming. Genuinely hilarious from the first scene. The middle hour is boring. The script is clever and never coasts. Ninety minutes, no padding. It gets laboured once the premise runs out.",5.8
c118,Second Office,2023,The director trusts the actors. The first act takes its time. The supporting cast is clever. One crude sequence I could have done without. The timing is charming and never lets up.,6.5
c119,Small Office,2021,"Genuinely charming from the first scene. The trailer gives away the best joke. A smutty streak a mile wide. Worth seeing with an audience. Shot like a sitcom, which mostly works.",6.2
c120,Second Reunion,2004,"The cast is clearly enjoying itself. The timing is charming and never lets up. Shot like a sitcom, which mostly works. The script is witty and never coasts. I found the whole thing riotous. Genuinely gleeful from the first scene.",8.8
c121,Small Roommate,2011,"Every punchline is tedious. A gleeful hour that went past in ten minutes. Worth seeing with an audience. The middle hour is boring. One vulgar sequence I could have done without. That dinner-party sequence is clever. The supporting cast is delightful. Not for everyone, but I laughed.",3.7
c122,Great Deposit,2005,"The supporting cast is clever. It gets unfunny once the premise runs out. Worth seeing with an audience. One smutty sequence I could have done without. I found the whole thing delightful. Shot like a sitcom, which mostly works. Ninety minutes, no padding. A charming hour that went past in ten minutes.",7.5
c123,Wild Office,2022,"I saw it in a full theatre, which helped. A crude streak a mile wide. I found the whole thing hilarious. The director trusts the actors. Quietly charming in a way I did not expect.",5.9
c124,Happy Cousins,2006,That dinner-party sequence is gleeful. The trailer gives away the best joke.,4.4
c125,Deep Reunion,1999,"Ninety minutes, no padding. I saw it in a full theatre, which helped. The third act gets vulgar. The script is charming and never coasts. The timing is delightful and never lets up. Every punchline is laboured. The gags are gross and proud of it.",4.9
c126,Second Roommate,2001,A tedious retread of better comedies. The third act gets gross. The director trusts the actors. A vulgar streak a mile wide. The ending is laboured. The cast is clearly enjoying itself. Every punchline is predictable.,1.0
c127,Summer Holiday,2021,"The supporting cast is gleeful. The script is witty and never coasts. The ending is predictable. The timing is charming and never lets up. Every punchline is boring. A riotous hour that went past in ten minutes. The trailer gives away the best joke. The soundtrack is doing a lot of work. Ninety minutes, no padding.",7.0
c128,Spare Garden,2000,One vulgar sequence I could have done without. The third act gets smutty. The timing is hilarious and never lets up. The trailer gives away the best joke.,5.1
c129,Long Detour,2005,"Shot like a sitcom, which mostly works. The trailer gives away the best joke. A clever hour that went past in ten minutes. The third act gets crude. The director trusts the actors. That dinner-party sequence is hilarious. The script is delightful and never coasts.",8.2
c130,Wild Holiday,2001,"The soundtrack is doing a lot of work. The cast is clearly enjoying itself. Not for everyone, but I laughed. The supporting cast is inspired.",5.9
c131,Summer Garden,2006,"Genuinely inspired from the first scene. The middle hour is boring. The soundtrack is doing a lot of work. Ninety minutes, no padding.",3.9
c132,Bitter Bakery,2012,"More gross than it needed to be. An inspired hour that went past in ten minutes. The script is delightful and never coasts. Shot like a sitcom, which mostly works.",5.8
c133,Summer Cousins,2002,"The middle hour is predictable. Every punchline is unfunny. The director trusts the actors. I found the whole thing hilarious. Shot like a sitcom, which mostly works. The trailer gives away the best joke.",1.2
c134,Second Lease,2003,"More juvenile than it needed to be. Ninety minutes, no padding.",3.5
c135,Wild Reunion,2006,"The director trusts the actors. The supporting cast is gleeful. The soundtrack is doing a lot of work. Genuinely riotous from the first scene. I saw it in a full theatre, which helped. More vulgar than it needed to be.",6.4
c136,Long Bakery,2021,"The supporting cast is delightful. An inspired hour that went past in ten minutes. Not for everyone, but I laughed. That dinner-party sequence is gleeful. One smutty sequence I could have done without. The soundtrack is doing a lot of work.",5.9
c137,Deep Cousins,2016,The first act takes its time. I found the whole thing hilarious.,5.0
c138,Last Lease,1999,"More vulgar than it needed to be. Shot like a sitcom, which mostly works. The ending is unfunny. One gross sequence I could have done without. The timing is riotous and never lets up. The script is hilarious and never coasts. The cast is clearly enjoying itself. A smutty streak a mile wide. It gets laboured once the premise runs out.",5.4
c139,Summer Reunion,2000,"The middle hour is unfunny. The supporting cast is witty. Shot like a sitcom, which mostly works. I found the whole thing delightful. I saw it in a full theatre, which helped. The soundtrack is doing a lot of work.",6.2
c140,Last Cousins,2024,"Not for everyone, but I laughed. The third act gets vulgar. Genuinely gleeful from the first scene. Quietly hilarious in a way I did not expect. One gross sequence I could have done without. The director trusts the actors. I saw it in a full theatre, which helped. The gags are crude and proud of it.",6.2
