film_id,title,year,reviews,scariness
f037,The Woods,2018,"That long hallway shot is chilling. The first act takes its time. The cast is doing real work here. I saw it in a full theatre, which helped. One gory sequence I had to look away from. The score is sinister and never lets up. The sound design alone is terrifying.",8.1
f038,Black Light,1999,The director clearly loves the genre. One bloody sequence I had to look away from. The third act is grisly. The score is chilling and never lets up.,5.0
f039,Hollow Well,2005,The cast is doing real work here. A creepy hour that I spent behind my hands. Worth seeing with an audience. Quietly eerie in a way I did not expect. It gets predictable once the twist lands.,5.7
f040,Salt Garden,2019,"The score is ominous and never lets up. I saw it in a full theatre, which helped. Ninety minutes, no padding. That long hallway shot is sinister.",6.0
f041,Salt Mirror,2007,The sound design alone is haunting. Worth seeing with an audience. The cast is doing real work here.,5.2
f042,Winter Signal,2010,"I saw it in a full theatre, which helped. The practical effects are the best part. An ominous hour that I spent behind my hands. Ninety minutes, no padding.",4.3
f043,Cold Well,2020,"Worth seeing with an audience. Not for everyone, but I was glad I went. I found the whole thing unsettling. The first act takes its time.",3.9
f044,Pale Door,2012,"An ominous hour that I spent behind my hands. Shot on 16mm and it shows, in a good way. The middle hour is tedious. More gruesome than it needed to be. The kills are brutal and inventive.",5.0
f045,Long Mirror,2020,"I saw it in a full theatre, which helped. The practical effects are the best part. One gruesome sequence I had to look away from. Worth seeing with an audience. A sinister hour that I spent behind my hands. The sound design alone is chilling.",5.8
f046,The Signal,2022,"Ninety minutes, no padding. One brutal sequence I had to look away from. The house itself is creepy. Quietly sinister in a way I did not expect. The ending is silly. The director clearly loves the genre.",6.4
f047,Salt Door,2005,"Not for everyone, but I was glad I went. Every beat is predictable. I found the whole thing terrifying. The director clearly loves the genre.",4.0
f048,Salt Hour,1999,"Genuinely terrifying from the first frame. I found the whole thing eerie. The first act takes its time. Every beat is tedious. I saw it in a full theatre, which helped. That long hallway shot is ominous. The ending is boring. One gruesome sequence I had to look away from.",6.4
f049,Winter Door,2017,"I found the whole thing creepy. The house itself is sinister. The third act is gory. Shot on 16mm and it shows, in a good way. Quietly ominous in a way I did not expect. The practical effects are the best part. The score is chilling and never lets up.",8.8
f050,Low Chapel,2021,The director clearly loves the genre. The sound design alone is sinister. The kills are brutal and inventive. The score is haunting and never lets up. An ominous hour that I spent behind my hands. That long hallway shot is eerie.,8.4
f051,Quiet Light,2020,"Shot on 16mm and it shows, in a good way. I saw it in a full theatre, which helped. Every beat is tedious. Quietly haunting in a way I did not expect. More grisly than it needed to be. That long hallway shot is terrifying. Genuinely creepy from the first frame.",7.2
f052,Hollow House,2013,The trailer gives away too much. The cast is doing real work here. The score is creepy and never lets up. That long hallway shot is ominous.,6.5
f053,Last Door,2021,Genuinely eerie from the first frame. One gruesome sequence I had to look away from. A tame retread of better films. The score is unsettling and never lets up. More grisly than it needed to be. An ominous hour that I spent behind my hands. The trailer gives away too much. The first act takes its time. Worth seeing with an audience.,7.2
f054,Winter Field,2006,"A brutal practical-effects showcase. The ending is silly. The first act takes its time. Not for everyone, but I was glad I went. The sound design alone is ominous. A creepy hour that I spent behind my hands.",5.6
f055,Hollow Garden,1998,"The sound design alone is terrifying. Not for everyone, but I was glad I went. The house itself is eerie. The ending is tedious.",5.0
f056,Low Lantern,2000,"The kills are gory and inventive. I found the whole thing haunting. Not for everyone, but I was glad I went. The practical effects are the best part.",4.5
f057,Low Signal,2012,The score is chilling and never lets up. Worth seeing with an audience. That long hallway shot is unsettling. A bloody practical-effects showcase. I found the whole thing terrifying. The third act is gory. The sound design alone is ominous.,9.6
f058,Low Door,2021,"The cast is doing real work here. The first act takes its time. I found the whole thing sinister. Not for everyone, but I was glad I went. A gruesome practical-effects showcase. Quietly creepy in a way I did not expect. It gets silly once the twist lands.",5.0
f059,Night Chapel,2007,"I found the whole thing creepy. A bloody practical-effects showcase. That long hallway shot is eerie. The ending is tame. Ninety minutes, no padding. The trailer gives away too much. It gets tedious once the twist lands. The sound design alone is ominous.",6.3
f060,Winter House,2015,"Ninety minutes, no padding. Worth seeing with an audience. The director clearly loves the genre.",4.3
f061,Bitter Hollow,2005,Worth seeing with an audience. The score is terrifying and never lets up. The director clearly loves the genre. The practical effects are the best part.,4.6
f062,Red Mirror,2004,"The first act takes its time. I saw it in a full theatre, which helped. A boring retread of better films. More gruesome than it needed to be. The third act is gory. Ninety minutes, no padding.",2.9
f063,Pale Chapel,2023,The score is terrifying and never lets up. The trailer gives away too much. The middle hour is tame. The kills are brutal and inventive. The first act takes its time.,4.1
f064,The Field,2013,"Worth seeing with an audience. The score is creepy and never lets up. A sinister hour that I spent behind my hands. Ninety minutes, no padding. Shot on 16mm and it shows, in a good way.",6.4
f065,Deep Signal,2000,The score is terrifying and never lets up. The house itself is chilling. The trailer gives away too much. The middle hour is tame. Genuinely haunting from the first frame. I found the whole thing creepy. The practical effects are the best part. Every beat is tedious.,7.1
f066,Hollow Light,2001,"One grisly sequence I had to look away from. Genuinely haunting from the first frame. Not for everyone, but I was glad I went.",5.1
f067,Night House,2001,"Shot on 16mm and it shows, in a good way. Every beat is tame. The trailer gives away too much. Worth seeing with an audience.",2.8
f068,Low Hollow,2021,"Worth seeing with an audience. The kills are bloody and inventive. I saw it in a full theatre, which helped.",3.4
f069,Cold Signal,2004,"The ending is tedious. More bloody than it needed to be. A brutal practical-effects showcase. The third act is gruesome. It gets silly once the twist lands. The house itself is chilling. The score is unsettling and never lets up. That long hallway shot is eerie. I found the whole thing terrifying. Not for everyone, but I was glad I went.",8.6
f070,Quiet Chapel,2011,"Not for everyone, but I was glad I went. The practical effects are the best part. A tedious retread of better films. More gory than it needed to be.",3.2
f071,Black Well,2005,More grisly than it needed to be. A tame retread of better films. The kills are gruesome and inventive. A brutal practical-effects showcase. The practical effects are the best part.,3.5
f072,Hollow Door,2016,"Ninety minutes, no padding. I found the whole thing creepy. The sound design alone is eerie. Genuinely unsettling from the first frame. That long hallway shot is chilling.",8.5
f073,Bitter Field,2012,A brutal practical-effects showcase. The sound design alone is haunting. More grisly than it needed to be. Quietly eerie in a way I did not expect. The director clearly loves the genre. The house itself is chilling.,8.0
f074,Cold Hollow,1998,The director clearly loves the genre. A chilling hour that I spent behind my hands. More grisly than it needed to be.,5.2
f075,Night Field,1998,"The house itself is sinister. The director clearly loves the genre. The first act takes its time. The third act is gruesome. One gory sequence I had to look away from. Ninety minutes, no padding.",6.2
f076,Pale Light,2009,"Every beat is predictable. One bloody sequence I had to look away from. A brutal practical-effects showcase. An eerie hour that I spent behind my hands. I saw it in a full theatre, which helped. More gory than it needed to be. Not for everyone, but I was glad I went.",4.6
f077,Quiet Hollow,2009,"The middle hour is boring. It gets tame once the twist lands. Ninety minutes, no padding.",2.0
f078,The Mirror,2023,"The middle hour is boring. I saw it in a full theatre, which helped. More grisly than it needed to be. The cast is doing real work here.",3.1
f079,Cold Light,2007,One grisly sequence I had to look away from. Quietly unsettling in a way I did not expect. Worth seeing with an audience. The practical effects are the best part. I found the whole thing sinister. Genuinely haunting from the first frame.,7.4
f080,Black Woods,2018,"The score is terrifying and never lets up. I saw it in a full theatre, which helped. A boring retread of better films. The cast is doing real work here. Every beat is tedious. I found the whole thing eerie. Ninety minutes, no padding. That long hallway shot is chilling.",6.1
f081,Last Garden,2010,"A grisly practical-effects showcase. The third act is gory. I saw it in a full theatre, which helped. The house itself is creepy. The director clearly loves the genre. Every beat is tame. Genuinely ominous from the first frame. The cast is doing real work here. Quietly chilling in a way I did not expect.",7.5
f082,Deep House,2011,"A tame retread of better films. Worth seeing with an audience. More brutal than it needed to be. A creepy hour that I spent behind my hands. Every beat is silly. The first act takes its time. The kills are gory and inventive. The middle hour is boring. Not for everyone, but I was glad I went.",3.4
f083,Deep Woods,1999,An unsettling hour that I spent behind my hands. It gets predictable once the twist lands. The middle hour is silly. That long hallway shot is terrifying. I found the whole thing creepy. The cast is doing real work here. The practical effects are the best part.,6.0
f084,Deep Hour,2012,"That long hallway shot is sinister. Not for everyone, but I was glad I went. The trailer gives away too much. The score is eerie and never lets up. The middle hour is predictable. Quietly ominous in a way I did not expect. It gets tame once the twist lands. One bloody sequence I had to look away from. A boring retread of better films. The director clearly loves the genre.",5.7
f085,Deep Field,2019,"An ominous hour that I spent behind my hands. The trailer gives away too much. Genuinely eerie from the first frame. Worth seeing with an audience. Shot on 16mm and it shows, in a good way.",5.4
f086,Black Garden,2023,"A chilling hour that I spent behind my hands. Quietly sinister in a way I did not expect. That long hallway shot is haunting. Not for everyone, but I was glad I went.",7.8
f087,Long Light,2001,"The house itself is eerie. Shot on 16mm and it shows, in a good way.",4.9
f088,Night Hour,2014,"It gets tedious once the twist lands. A grisly practical-effects showcase. The ending is predictable. The middle hour is tame. That long hallway shot is creepy. I found the whole thing eerie. A chilling hour that I spent behind my hands. Not for everyone, but I was glad I went. The score is terrifying and never lets up.",7.4
f089,Red Lantern,2003,"Every beat is predictable. A tame retread of better films. Not for everyone, but I was glad I went. The middle hour is boring. A grisly practical-effects showcase.",2.6
f090,Night Garden,2011,The first act takes its time. A terrifying hour that I spent behind my hands. That long hallway shot is creepy. The cast is doing real work here. Worth seeing with an audience.,6.0
f091,Salt Chapel,2015,"Ninety minutes, no padding. The cast is doing real work here. It gets silly once the twist lands. A tame retread of better films. Shot on 16mm and it shows, in a good way. Every beat is predictable. The third act is brutal.",1.6
f092,Hollow Field,2016,"The kills are brutal and inventive. The director clearly loves the genre. The sound design alone is creepy. Not for everyone, but I was glad I went. Shot on 16mm and it shows, in a good way. The score is sinister and never lets up. Genuinely terrifying from the first frame.",7.4
f093,Winter Tide,2013,"The trailer gives away too much. Worth seeing with an audience. A haunting hour that I spent behind my hands. I saw it in a full theatre, which helped. The kills are grisly and inventive. I found the whole thing ominous. Genuinely eerie from the first frame.",7.3
f094,Long Garden,2011,"The kills are brutal and inventive. Shot on 16mm and it shows, in a good way. It gets predictable once the twist lands. The director clearly loves the genre. The sound design alone is chilling. An ominous hour that I spent behind my hands.",5.1
f095,Bitter Lantern,2008,The score is eerie and never lets up. The cast is doing real work here. The trailer gives away too much. A bloody practical-effects showcase. The third act is gory. Genuinely unsettling from the first frame. That long hallway shot is haunting.,8.1
f096,The House,1999,"More gory than it needed to be. The kills are bloody and inventive. Not for everyone, but I was glad I went. The practical effects are the best part. Worth seeing with an audience. Quietly creepy in a way I did not expect.",5.9
f097,Long Signal,2014,The first act takes its time. The kills are gruesome and inventive. The practical effects are the best part. I found the whole thing ominous. The director clearly loves the genre.,4.7
f098,Black Hour,2014,The trailer gives away too much. The third act is brutal. One gruesome sequence I had to look away from. Genuinely terrifying from the first frame.,4.8
f099,Hollow Tide,2018,"I saw it in a full theatre, which helped. The middle hour is silly. The first act takes its time. The kills are brutal and inventive. The house itself is chilling.",4.9
f100,Pale Hollow,2005,"The kills are gory and inventive. I saw it in a full theatre, which helped. The score is terrifying and never lets up. The ending is silly. Every beat is predictable. The practical effects are the best part. A haunting hour that I spent behind my hands. Quietly chilling in a way I did not expect.",5.3
f101,Cold Room,2006,Quietly chilling in a way I did not expect. The score is sinister and never lets up. A grisly practical-effects showcase. I found the whole thing creepy. The first act takes its time. Genuinely eerie from the first frame.,8.7
f102,Quiet Field,2011,The kills are gruesome and inventive. The director clearly loves the genre. Worth seeing with an audience. That long hallway shot is eerie.,4.1
f103,Bitter Chapel,2002,The cast is doing real work here. The kills are bloody and inventive. The director clearly loves the genre. The practical effects are the best part. A gruesome practical-effects showcase.,4.4
f104,Winter Lantern,2020,"That long hallway shot is creepy. The house itself is sinister. Ninety minutes, no padding. The cast is doing real work here. Not for everyone, but I was glad I went.",5.0
f105,Salt House,2004,"Ninety minutes, no padding. The cast is doing real work here. The score is sinister and never lets up. A silly retread of better films. A gory practical-effects showcase. I saw it in a full theatre, which helped. Every beat is boring. The ending is tedious.",3.0
f106,Pale Hour,2010,The third act is grisly. The cast is doing real work here.,4.3
f107,Black Tide,2015,The ending is silly. A brutal practical-effects showcase. The sound design alone is ominous. The first act takes its time. More gruesome than it needed to be. The score is eerie and never lets up. The practical effects are the best part.,6.2
f108,Hollow Chapel,2022,Every beat is boring. That long hallway shot is ominous. The cast is doing real work here. A gory practical-effects showcase.,4.7
f109,Red Signal,2018,A haunting hour that I spent behind my hands. The sound design alone is ominous. The first act takes its time. One brutal sequence I had to look away from.,6.4
f110,Pale Woods,2012,The sound design alone is ominous. The practical effects are the best part.,4.9
f111,Long Well,2014,"The third act is gory. The house itself is sinister. Shot on 16mm and it shows, in a good way. The practical effects are the best part. Not for everyone, but I was glad I went. A tame retread of better films.",4.7
f112,Black Door,2008,"A tame retread of better films. The trailer gives away too much. Not for everyone, but I was glad I went. The kills are brutal and inventive.",3.7
f113,Low Mirror,2017,The cast is doing real work here. The practical effects are the best part.,3.7
f114,Last Tide,2016,The kills are gruesome and inventive. The ending is tedious. The director clearly loves the genre. That long hallway shot is unsettling. The practical effects are the best part.,4.0
f115,Quiet Hour,1998,"The house itself is terrifying. Ninety minutes, no padding. A gory practical-effects showcase. The score is unsettling and never lets up. That long hallway shot is haunting. The trailer gives away too much. Quietly ominous in a way I did not expect. The kills are bloody and inventive.",9.3
f116,Low Garden,1999,"A gruesome practical-effects showcase. Ninety minutes, no padding.",3.9
f117,Deep Mirror,2023,"The score is haunting and never lets up. One brutal sequence I had to look away from. More gruesome than it needed to be. Not for everyone, but I was glad I went. Ninety minutes, no padding. That long hallway shot is creepy. The trailer gives away too much.",5.5
f118,Quiet Door,2006,That long hallway shot is unsettling. A grisly practical-effects showcase. Quietly eerie in a way I did not expect. The sound design alone is ominous. The cast is doing real work here. A terrifying hour that I spent behind my hands.,7.9
f119,Salt Woods,2003,The cast is doing real work here. The sound design alone is sinister. Every beat is predictable. That long hallway shot is creepy. The director clearly loves the genre. The house itself is eerie. Worth seeing with an audience.,6.7
f120,Quiet Woods,1999,"The kills are brutal and inventive. One gruesome sequence I had to look away from. The house itself is sinister. I saw it in a full theatre, which helped. The trailer gives away too much. A silly retread of better films. The first act takes its time.",4.8
