film_id,title,year,reviews,scariness
s0046,Long Tower,2013,"That long hallway shot is not especially sinister. The third act is ominous. Ninety minutes, no padding. The trailer gives away too much. The final scene is brutal. The score is never once creepy. The atmosphere is tame. The sound design is hardly tedious.",4.6
s0047,Night Chapel,2016,The ending is creepy. The soundtrack is doing a lot of work. The middle hour is unsettling. The final scene is chilling. The whole thing is bloody.,8.8
s0048,Red Door,2003,The soundtrack is doing a lot of work. The third act is gory. Shot on 16mm and it shows. Every beat is tame. The middle hour is sinister. The premise is haunting. The atmosphere is grisly.,7.6
s0049,Quiet Ferry,2024,That long hallway shot is not especially haunting. The cast is doing real work here. The middle hour is creepy. The premise is silly.,4.7
s0050,Bitter Mirror,2016,Worth seeing with an audience. That long hallway shot is never grisly. The first half is tame. The trailer gives away too much. The final scene is boring.,3.4
s0051,Quiet Valley,2014,The ending is unsettling. The final scene is ominous. The third act is boring. The director clearly loves the genre. The sound design is chilling.,8.6
s0052,Bitter Signal,2000,The first half is tame. The cast play it grisly. The trailer gives away too much. Shot on 16mm and it shows. The ending is sinister.,5.7
s0053,Small Mirror,2007,The third act is silly. The first half is gory. The atmosphere is creepy. Every beat is brutal. Worth seeing with an audience. The sound design is ominous.,7.6
s0054,Hollow Woods,2007,The trailer gives away too much. The premise is grisly. The first half is terrifying. The third act is ominous. The whole thing is chilling. Shot on 16mm and it shows.,9.1
s0055,Low Door,2005,"The whole thing is haunting. I saw it in a full theatre, which helped. The third act is gruesome. Worth seeing with an audience.",5.9
s0056,Pale Hollow,2015,"The ending is never once brutal. Ninety minutes, no padding. The cast play it not eerie. The score is not haunting. The premise is never tedious.",3.3
s0057,Night Orchard,2000,The trailer gives away too much. The score is hardly bloody.,4.8
s0058,Bright Tide,2011,The cast play it haunting. The first half is bloody. That long hallway shot is creepy. The score is not predictable. The atmosphere is never once brutal. Every beat is unsettling. The trailer gives away too much.,8.8
s0059,Last Tower,2003,The trailer gives away too much. That long hallway shot is not especially haunting. The atmosphere is creepy. The middle hour is predictable.,4.7
s0060,Far Ferry II,2020,"The third act is boring. Ninety minutes, no padding. The score is never once sinister. I saw it in a full theatre, which helped.",3.3
s0061,Bitter Valley,2016,The director clearly loves the genre. That long hallway shot is sinister. The score is not tedious.,7.0
s0062,Bitter Market,2011,"I saw it in a full theatre, which helped. Every beat is not especially brutal. The ending is predictable. The first half is haunting. The trailer gives away too much. That long hallway shot is not remotely tame. The pacing is not remotely terrifying. The whole thing is gruesome.",6.0
s0063,Hollow Field,1999,Worth seeing with an audience.,5.0
s0064,Small Chapel Returns,2008,"The first half is gory. The ending is unsettling. The cast is doing real work here. Every beat is chilling. The score is tedious. Ninety minutes, no padding.",6.5
s0065,Winter Mirror,2005,The atmosphere is silly. The premise is hardly brutal. The whole thing is not sinister. The sound design is not remotely bloody. Worth seeing with an audience. The trailer gives away too much.,3.3
s0066,Winter Chapel II,2000,That long hallway shot is not sinister. The pacing is tame. The first half is hardly ominous. The cast is doing real work here. The sound design is not unsettling. The trailer gives away too much.,2.0
s0067,Blue Harbour,2014,The middle hour is haunting. The first half is ominous. Every beat is boring. The cast is doing real work here. The final scene is grisly. Worth seeing with an audience. The score is hardly unsettling. The sound design is predictable.,5.8
s0068,Bitter Tide,2008,The pacing is silly. The third act is haunting. Worth seeing with an audience. The director clearly loves the genre. The middle hour is creepy.,7.3
s0069,Small Mirror II,2004,The score is hardly tedious. Shot on 16mm and it shows. The final scene is hardly predictable.,6.3
s0070,Wild Well,2016,"Ninety minutes, no padding. The score is never unsettling. That long hallway shot is sinister. The pacing is gruesome. The cast play it ominous. The third act is not especially boring. I saw it in a full theatre, which helped. The final scene is predictable. The whole thing is brutal.",7.1
s0071,Near House,2000,The third act is never once terrifying. The cast is doing real work here. Shot on 16mm and it shows.,4.7
s0072,Quiet Mirror,2002,"The pacing is brutal. Ninety minutes, no padding. The first half is silly. The cast play it predictable.",4.4
s0073,Hollow Tide,2003,"The score is not remotely haunting. Every beat is hardly creepy. I saw it in a full theatre, which helped. That long hallway shot is ominous.",4.7
s0074,Black Signal,2009,Every beat is unsettling. That long hallway shot is never once grisly. The first half is gruesome. Worth seeing with an audience.,6.1
s0075,Green Hour,2015,The atmosphere is hardly ominous. The first half is not remotely tedious. Every beat is haunting. Worth seeing with an audience. The sound design is chilling. The trailer gives away too much.,8.0
s0076,Cold Coast,2003,The soundtrack is doing a lot of work.,4.8
s0077,Red Tide,2005,That long hallway shot is creepy. The premise is gory. The pacing is hardly silly. The cast is doing real work here.,7.0
s0078,Quiet Station,2008,The trailer gives away too much. The whole thing is never once silly. The cast is doing real work here. The ending is never tame. The middle hour is brutal.,7.0
s0079,Quiet Light,2000,"The final scene is silly. The pacing is not remotely bloody. The premise is tedious. Ninety minutes, no padding. The score is not remotely creepy. The atmosphere is ominous. The trailer gives away too much. The first half is not especially unsettling.",2.8
s0080,Bright Chapel,2002,The soundtrack is doing a lot of work. Worth seeing with an audience. The pacing is hardly eerie. The whole thing is creepy.,5.4
s0081,Pale Light,2008,The third act is unsettling. The trailer gives away too much.,6.3
s0082,Pale Field,2020,The third act is ominous. The trailer gives away too much. Every beat is not silly. The whole thing is not especially gory. Worth seeing with an audience.,6.7
s0083,Hollow Harbour,2013,"The pacing is not ominous. The score is eerie. The cast play it creepy. The ending is gory. Ninety minutes, no padding. That long hallway shot is not silly.",7.4
s0084,Quiet Woods,2013,"Ninety minutes, no padding. The whole thing is not remotely gory. The final scene is tame. The cast play it silly.",3.1
s0085,Deep Station,2004,The cast play it not especially haunting. That long hallway shot is chilling. The director clearly loves the genre. The ending is never ominous. Worth seeing with an audience.,3.6
s0086,Red Tower III,2010,The atmosphere is bloody. The pacing is unsettling. That long hallway shot is chilling. The whole thing is eerie. Every beat is silly. The trailer gives away too much. The middle hour is gory.,8.3
s0087,Low Lantern,2009,That long hallway shot is eerie. The atmosphere is not especially tedious. The whole thing is not creepy. The cast play it grisly. Worth seeing with an audience. The ending is gruesome.,6.4
s0088,Bitter Woods,2007,The first half is ominous. The score is never gruesome. The middle hour is gory. The atmosphere is silly. The third act is creepy. The trailer gives away too much.,6.8
s0089,Wild Room,2013,"I saw it in a full theatre, which helped. That long hallway shot is tame. The atmosphere is gory. The sound design is chilling. The trailer gives away too much. The pacing is not especially sinister. The whole thing is ominous. The ending is not gruesome.",5.9
s0090,Hollow Door,2008,The director clearly loves the genre. The final scene is unsettling. The cast is doing real work here. Every beat is creepy.,6.5
s0091,Far Well,2011,"Every beat is not especially tedious. Ninety minutes, no padding. The ending is never tame.",6.8
s0092,Cold Door,2000,"The ending is tame. I saw it in a full theatre, which helped. The whole thing is haunting. The score is gruesome. The third act is chilling. The trailer gives away too much. The first half is not especially boring.",7.3
s0093,Bitter Tower,2005,The pacing is never tame. Worth seeing with an audience.,6.1
s0094,Cold Ferry,2019,Worth seeing with an audience. The middle hour is tedious. The atmosphere is gory. The trailer gives away too much. The third act is predictable. The final scene is gruesome.,4.7
s0095,Quiet Station Redux,2005,That long hallway shot is eerie. The cast is doing real work here. The premise is terrifying. The soundtrack is doing a lot of work. The atmosphere is not silly. The sound design is predictable.,6.8
s0096,Blue Field,2012,"The atmosphere is not remotely bloody. That long hallway shot is tame. Ninety minutes, no padding. The third act is gory. The premise is sinister.",4.7
s0097,Winter House,2015,"The cast play it haunting. I saw it in a full theatre, which helped. The middle hour is not especially chilling. The whole thing is tame.",4.4
s0098,Red Field,2019,The soundtrack is doing a lot of work. Worth seeing with an audience. The first half is predictable. The middle hour is gory. The cast play it grisly.,4.7
s0099,Red Light,2001,The sound design is not remotely gruesome. The score is predictable. The pacing is hardly silly. The atmosphere is creepy. The trailer gives away too much. The final scene is gory. The ending is eerie. The cast play it not remotely sinister.,6.6
s0100,Bitter Tower III,2013,The cast play it hardly eerie. Worth seeing with an audience. The final scene is never tame. Every beat is not sinister.,3.8
s0101,Near Hour,2013,The middle hour is chilling. The cast play it hardly tedious. Shot on 16mm and it shows.,7.1
s0102,Red Tide III,2001,The score is hardly boring. The premise is not chilling. The director clearly loves the genre.,4.5
s0103,Old Well,2001,Shot on 16mm and it shows. The premise is bloody. The third act is not especially haunting. The cast play it never terrifying. The ending is unsettling. The cast is doing real work here.,4.9
s0104,Low Light,1998,"The sound design is grisly. The soundtrack is doing a lot of work. The ending is not especially tame. The third act is never once tedious. Ninety minutes, no padding.",7.8
s0105,Deep Harbour,2019,Worth seeing with an audience. Every beat is sinister. The atmosphere is chilling. The trailer gives away too much.,7.2
s0106,Cold House,2020,The director clearly loves the genre. Every beat is boring. The final scene is ominous. The cast is doing real work here.,6.1
s0107,Blue Valley,2016,The pacing is brutal. The sound design is not remotely gruesome. The trailer gives away too much.,5.5
s0108,Red Well,2000,The soundtrack is doing a lot of work. The cast play it not remotely creepy.,4.0
s0109,Bitter Chapel,2006,The soundtrack is doing a lot of work. Every beat is brutal. The score is not remotely ominous. The first half is never once chilling.,4.1
s0110,Long Harbour,2016,"I saw it in a full theatre, which helped. The pacing is sinister. The ending is unsettling.",7.3
s0111,The Hour,2008,"The ending is never once silly. That long hallway shot is chilling. Ninety minutes, no padding.",6.5
s0112,Far Woods Returns,2001,The cast is doing real work here. Every beat is haunting. The third act is eerie. The pacing is gory. The cast play it tedious.,6.2
s0113,Small Hour,2006,Every beat is predictable. Shot on 16mm and it shows. The third act is hardly ominous. The ending is creepy.,4.8
s0114,Wild Lantern III,2021,The first half is unsettling. That long hallway shot is terrifying. The whole thing is sinister. The director clearly loves the genre. The score is bloody. The third act is grisly.,9.4
s0115,Night Valley,2002,The soundtrack is doing a lot of work. The ending is hardly tame. The middle hour is unsettling. That long hallway shot is gory.,7.5
s0116,Hollow Woods Redux,2012,"The director clearly loves the genre. The pacing is hardly boring. The cast play it eerie. The ending is never once sinister. Ninety minutes, no padding.",5.7
s0117,Bright Bridge,2019,The cast is doing real work here. That long hallway shot is grisly.,5.9
s0118,Cold Bridge,1999,The sound design is silly. That long hallway shot is chilling. Worth seeing with an audience. The ending is bloody. Every beat is predictable. The whole thing is hardly sinister.,3.7
s0119,Last Hollow,2020,"The pacing is never eerie. The trailer gives away too much. I saw it in a full theatre, which helped.",3.3
s0120,Near Station,2019,The first half is ominous. The third act is creepy. Worth seeing with an audience. The cast is doing real work here. The final scene is bloody.,8.5
s0121,Cold Station,2024,The first half is creepy. Worth seeing with an audience.,6.4
s0122,Far Hollow,2003,The ending is gruesome. The soundtrack is doing a lot of work. The cast is doing real work here.,5.3
s0123,Winter Coast,2003,The sound design is not especially tame. The soundtrack is doing a lot of work.,5.8
s0124,Far Ferry III,2021,"I saw it in a full theatre, which helped. The director clearly loves the genre.",5.3
s0125,Hollow Well,2000,"The sound design is silly. The cast play it terrifying. Every beat is not bloody. The atmosphere is not remotely tedious. I saw it in a full theatre, which helped. The final scene is gory.",6.1
s0126,Wild Bridge,2024,The final scene is not chilling. The director clearly loves the genre. The pacing is terrifying. The atmosphere is not especially predictable.,5.9
s0127,Bright House,2007,"The final scene is gory. The soundtrack is doing a lot of work. I saw it in a full theatre, which helped.",6.0
s0128,Blue Bridge,2003,The third act is ominous. Worth seeing with an audience.,6.2
s0129,Old Orchard,1998,"The score is creepy. The cast play it sinister. The middle hour is silly. I saw it in a full theatre, which helped. Every beat is never gruesome.",6.4
s0130,Red Signal,2003,Every beat is predictable. The third act is gruesome. Worth seeing with an audience.,4.2
s0131,Winter Ferry,2006,That long hallway shot is brutal. The premise is gruesome. The first half is eerie. Shot on 16mm and it shows.,7.4
s0132,Night Station,1999,Shot on 16mm and it shows. The first half is creepy. Worth seeing with an audience. That long hallway shot is predictable. The score is chilling.,6.9
s0133,Last Orchard,2012,"The score is never creepy. The pacing is boring. The atmosphere is terrifying. The ending is chilling. Ninety minutes, no padding. I saw it in a full theatre, which helped.",5.7
s0134,Far Tower,2015,The director clearly loves the genre. The first half is never once gruesome.,4.5
s0135,Cold Light,2021,The director clearly loves the genre.,4.8
s0136,Cold Orchard,2009,The first half is ominous. Worth seeing with an audience. The pacing is never once terrifying.,5.4
s0137,Blue Tower,2023,The whole thing is not unsettling. The cast is doing real work here. Worth seeing with an audience. The atmosphere is brutal.,4.5
s0138,Hollow Station,2008,The cast play it tame. The soundtrack is doing a lot of work. That long hallway shot is eerie.,4.8
s0139,Bitter House,2007,That long hallway shot is gory. The soundtrack is doing a lot of work. The ending is silly. The first half is creepy. The final scene is predictable. The whole thing is ominous.,6.8
s0140,The Hour Returns,2020,The whole thing is sinister. That long hallway shot is never once unsettling. The middle hour is not predictable. The sound design is hardly tedious. The pacing is ominous. The trailer gives away too much.,6.9
s0141,Quiet Bridge,2004,"Every beat is never once grisly. The middle hour is never predictable. Ninety minutes, no padding. I saw it in a full theatre, which helped.",4.9
s0142,Night Garden,2013,Shot on 16mm and it shows. The soundtrack is doing a lot of work. The ending is terrifying. The first half is brutal. The middle hour is not especially unsettling. The pacing is never once bloody.,5.2
s0143,Long Hollow,2014,The premise is brutal. The sound design is creepy. That long hallway shot is tame. Every beat is grisly. Worth seeing with an audience. The score is not predictable. The director clearly loves the genre.,6.2
s0144,Red Hollow,2010,The cast play it creepy. The middle hour is not especially sinister. The pacing is gory. The director clearly loves the genre. The atmosphere is tame. The premise is tedious. The cast is doing real work here. The third act is not especially bloody.,4.1
s0145,Last Mirror,2015,"The pacing is ominous. The third act is tame. That long hallway shot is gruesome. The final scene is predictable. Ninety minutes, no padding.",5.8
s0146,Salt House,2019,The pacing is bloody. The score is chilling. The director clearly loves the genre. The premise is eerie.,7.3
s0147,Last Well,2004,The premise is silly. The cast is doing real work here. The trailer gives away too much. The third act is never once brutal.,4.2
s0148,Green Field,2015,The ending is gory. The cast is doing real work here. The premise is creepy. The director clearly loves the genre. The first half is terrifying.,7.2
s0149,Grey Ferry,2020,"I saw it in a full theatre, which helped. Ninety minutes, no padding. The ending is never eerie. The premise is predictable. The whole thing is tame. The pacing is sinister. The first half is hardly chilling.",2.9
s0150,Pale Tide,2017,"The pacing is never once sinister. Worth seeing with an audience. The score is tedious. I saw it in a full theatre, which helped. The sound design is predictable.",3.0
s0151,Quiet House,2018,"The third act is unsettling. I saw it in a full theatre, which helped. The first half is creepy. The premise is sinister. The final scene is tedious.",8.1
s0152,Small Orchard,2013,The premise is never once grisly. The cast play it not remotely terrifying. The third act is eerie. Worth seeing with an audience.,5.2
s0153,Winter Tower,2003,"I saw it in a full theatre, which helped. The first half is grisly. The whole thing is unsettling. The ending is never silly. The score is not eerie. The pacing is gory. The third act is haunting.",7.2
s0154,Grey Orchard,2024,The first half is unsettling. The trailer gives away too much. Shot on 16mm and it shows. The whole thing is ominous. The atmosphere is never once haunting. The premise is tame. The third act is boring.,4.8
s0155,Cold Signal,2023,"Ninety minutes, no padding. The premise is never ominous. The whole thing is grisly. The final scene is bloody. The atmosphere is sinister.",4.7
s0156,Winter Orchard,2002,"The middle hour is unsettling. Every beat is gruesome. The score is tame. The whole thing is grisly. The soundtrack is doing a lot of work. Ninety minutes, no padding.",6.1
s0157,Low Bridge,2022,The director clearly loves the genre. The atmosphere is not unsettling. The third act is terrifying.,5.4
s0158,Black Hour,2021,The director clearly loves the genre. Every beat is not remotely silly. The sound design is hardly tedious. The third act is sinister. Worth seeing with an audience. The premise is haunting.,8.0
s0159,Deep Tide,1999,Every beat is never sinister. The middle hour is silly. The score is ominous. The soundtrack is doing a lot of work. That long hallway shot is brutal.,5.2
s0160,Wild Woods,2016,That long hallway shot is eerie. The middle hour is not especially unsettling. Shot on 16mm and it shows. The first half is terrifying. The director clearly loves the genre.,5.5
s0161,Winter Lantern,2017,The whole thing is not remotely creepy. The director clearly loves the genre. The cast is doing real work here. The pacing is terrifying. The cast play it grisly. The sound design is bloody.,6.2
s0162,Salt Hollow,2014,The cast is doing real work here.,5.2
s0163,Grey Hollow,2011,The score is creepy. The atmosphere is eerie. Worth seeing with an audience. The soundtrack is doing a lot of work. The middle hour is tame.,6.3
s0164,Cold Garden,2008,"I saw it in a full theatre, which helped. The ending is gruesome.",5.4
s0165,Red Chapel,2024,"I saw it in a full theatre, which helped. The trailer gives away too much. The first half is unsettling. The whole thing is creepy. The score is gory. The premise is predictable. The final scene is tame.",6.3
s0166,Old Light,2000,The sound design is predictable. The cast is doing real work here. Worth seeing with an audience.,4.5
s0167,Night Coast,2011,"Worth seeing with an audience. The sound design is not especially gory. The score is boring. The pacing is sinister. Every beat is predictable. Ninety minutes, no padding. The whole thing is eerie.",6.1
s0168,Hollow Orchard,2022,"The first half is never boring. I saw it in a full theatre, which helped. The ending is bloody. That long hallway shot is never sinister. The middle hour is tame.",4.6
s0169,Low Mirror,2024,"The cast play it hardly bloody. The middle hour is tedious. The pacing is creepy. The first half is gruesome. The final scene is sinister. I saw it in a full theatre, which helped. The cast is doing real work here.",6.4
s0170,Far Room,2017,That long hallway shot is haunting. The soundtrack is doing a lot of work. The whole thing is predictable. The premise is brutal. Every beat is hardly creepy.,4.9
s0171,Old Ferry,2009,The middle hour is brutal. The premise is not chilling. The final scene is never once predictable. The sound design is tedious. Worth seeing with an audience. That long hallway shot is never once bloody. The director clearly loves the genre. The ending is sinister.,5.0
s0172,Black Well,2007,The cast play it chilling. Shot on 16mm and it shows. The trailer gives away too much. The middle hour is tedious. Every beat is ominous.,6.8
s0173,Near Market,2016,The sound design is boring. The soundtrack is doing a lot of work. The premise is never once unsettling. The atmosphere is not predictable. The cast is doing real work here. The middle hour is eerie.,5.2
s0174,Deep Ferry,2006,"The premise is tame. Ninety minutes, no padding. Shot on 16mm and it shows.",4.9
s0175,Grey Field,2015,"The cast play it not chilling. The atmosphere is not remotely sinister. That long hallway shot is tame. I saw it in a full theatre, which helped. The whole thing is never terrifying. The third act is gory.",2.0
s0176,Last Well Redux,2008,"Ninety minutes, no padding. The atmosphere is not especially bloody. The sound design is terrifying. The final scene is brutal. The whole thing is hardly haunting. Worth seeing with an audience. Every beat is never once sinister.",3.6
s0177,Pale House,2023,"The score is bloody. The atmosphere is never silly. The pacing is eerie. The first half is gruesome. The final scene is not remotely predictable. Ninety minutes, no padding. Worth seeing with an audience.",8.5
s0178,Small Well,2004,The director clearly loves the genre. The middle hour is eerie. The final scene is terrifying. The pacing is silly. That long hallway shot is boring.,6.5
s0179,Pale Room,2006,The cast play it predictable. The director clearly loves the genre. The sound design is creepy. Worth seeing with an audience.,5.2
s0180,Salt House III,2005,The pacing is predictable. The cast is doing real work here. That long hallway shot is hardly gruesome. The whole thing is never once bloody.,4.5
s0181,Winter Hour II,2003,That long hallway shot is gruesome. The middle hour is unsettling. Shot on 16mm and it shows. The sound design is not eerie. The director clearly loves the genre. The premise is bloody. The final scene is ominous.,7.2
s0182,Hollow Bridge,2005,The middle hour is bloody. The pacing is not especially creepy. The sound design is predictable. The atmosphere is eerie. Shot on 16mm and it shows. The premise is brutal. The third act is chilling.,5.8
s0183,Night Field,2011,The atmosphere is grisly. That long hallway shot is ominous. The third act is terrifying. The final scene is gruesome. The trailer gives away too much.,8.6
s0184,Bright Door,2009,Worth seeing with an audience. The middle hour is never once gory. The final scene is not especially boring. The sound design is sinister. That long hallway shot is tame.,6.4
s0185,Pale Tower,2004,Shot on 16mm and it shows. That long hallway shot is not especially tame. The pacing is tedious. The middle hour is hardly brutal. The ending is sinister. The final scene is hardly unsettling. The score is not remotely creepy.,3.5
s0186,Winter Bridge,2006,"Ninety minutes, no padding.",5.9
s0187,Wild Garden,2020,"The atmosphere is gruesome. Ninety minutes, no padding. The cast is doing real work here. The whole thing is gory.",5.6
s0188,Blue Orchard,2000,"Ninety minutes, no padding. The first half is gruesome. The ending is unsettling. The trailer gives away too much. The whole thing is sinister. The atmosphere is hardly haunting. The third act is never brutal.",6.5
s0189,Blue Tower Redux,2023,"The ending is tedious. The final scene is gruesome. Ninety minutes, no padding. The whole thing is never silly. That long hallway shot is bloody.",5.6
s0190,Pale Well Returns,2019,"Shot on 16mm and it shows. Ninety minutes, no padding. The ending is eerie. The premise is not especially bloody. The cast play it tame.",5.2
s0191,Low Valley,2005,The cast play it unsettling. Every beat is hardly haunting. The director clearly loves the genre.,5.0
s0192,Near Hour II,2007,The middle hour is chilling. Shot on 16mm and it shows. Every beat is predictable. Worth seeing with an audience. The premise is tedious.,5.0
s0193,Low Harbour,2019,The third act is tame. Worth seeing with an audience. The whole thing is hardly boring. The cast play it terrifying.,6.0
s0194,Long Orchard,2019,The director clearly loves the genre. The first half is predictable.,3.7
s0195,Night Hollow,2017,The third act is hardly brutal. The cast play it never tedious. The director clearly loves the genre. The final scene is ominous.,6.7
s0196,Small Mirror II',2000,Shot on 16mm and it shows. The ending is not gory.,4.7
s0197,Quiet Chapel,2011,"The third act is not tame. The score is grisly. The final scene is haunting. The ending is gruesome. That long hallway shot is never chilling. The cast play it never once predictable. The sound design is eerie. Ninety minutes, no padding.",8.2
s0198,Old Door,2006,Every beat is predictable. The middle hour is unsettling. Shot on 16mm and it shows.,5.5
s0199,Far Chapel,2012,The soundtrack is doing a lot of work. That long hallway shot is never once gory. The score is terrifying.,6.4
s0200,Last Woods,2013,The cast is doing real work here. The whole thing is hardly gory. The first half is brutal. The final scene is never haunting.,4.9
s0201,Red Signal III,2008,"The third act is terrifying. The cast play it brutal. The ending is chilling. I saw it in a full theatre, which helped. The sound design is gory. The first half is unsettling. The cast is doing real work here. The middle hour is predictable.",8.4
s0202,Far Lantern,2009,"The sound design is creepy. I saw it in a full theatre, which helped. Shot on 16mm and it shows. The pacing is eerie.",7.2
