film_id,title,year,reviews,funniness
f0047,Night Valley,2021,"The middle hour is smug. I saw it in a full theatre, which helped. That long hallway shot is crass. The ending is raunchy.",5.1
f0048,Night Well,2016,The atmosphere is raunchy. Shot on 16mm and it shows. The middle hour is riotous.,7.5
f0049,Winter Light,1998,The atmosphere is not remotely raunchy. The middle hour is bawdy. The whole thing is not especially hilarious. Every beat is hysterical. The ending is droll. The trailer gives away too much.,6.7
f0050,Hollow Field,2019,The director clearly loves the genre. The premise is deadpan. Shot on 16mm and it shows. The first half is witty.,7.2
f0051,The Bridge,1998,The ending is witty. The director clearly loves the genre. Worth seeing with an audience.,5.8
f0052,Low Room,2012,Worth seeing with an audience. The sound design is unfunny. The middle hour is witty. The first half is not especially hysterical. The atmosphere is riotous.,5.4
f0053,Low Tower,2016,"The whole thing is bawdy. Ninety minutes, no padding. The premise is hardly uproarious.",4.7
f0054,Deep Garden,2013,"Shot on 16mm and it shows. I saw it in a full theatre, which helped.",4.5
f0055,Bitter Bridge,2020,Every beat is unfunny. Shot on 16mm and it shows. The first half is deadpan. The cast play it crass. The middle hour is raunchy.,6.6
f0056,Red Orchard,2012,Worth seeing with an audience. The final scene is not remotely twee. The atmosphere is uproarious. The whole thing is not especially smug. The soundtrack is doing a lot of work. The score is deadpan. The ending is delightful.,9.4
f0057,Black Signal,2020,The director clearly loves the genre. The premise is unfunny. Every beat is not remotely hilarious.,3.8
f0058,Wild Mirror,2000,The ending is never riotous. The trailer gives away too much. The sound design is droll.,5.5
f0059,Night Coast,2006,The ending is never once deadpan. Worth seeing with an audience.,4.3
f0060,Night Field,2003,The score is droll. The ending is vulgar. The soundtrack is doing a lot of work. Worth seeing with an audience. The first half is uproarious. The sound design is smug. The premise is bawdy.,7.8
f0061,Grey Signal,2014,The atmosphere is twee. The pacing is crass. Worth seeing with an audience. That long hallway shot is not especially raunchy. The director clearly loves the genre. The score is hardly laboured.,5.3
f0062,Grey Signal II,2019,The trailer gives away too much. The atmosphere is not remotely laboured. The first half is hardly twee. Every beat is not remotely vulgar.,5.3
f0063,Low Hour,2009,"I saw it in a full theatre, which helped. The ending is uproarious. The third act is hysterical.",7.7
f0064,Hollow Hollow,2006,"Ninety minutes, no padding. The middle hour is bawdy. The sound design is not remotely laboured. That long hallway shot is uproarious. Shot on 16mm and it shows. Every beat is not remotely witty. The cast play it droll.",7.1
f0065,Red Valley,2004,The trailer gives away too much. That long hallway shot is not remotely bawdy. The whole thing is hilarious.,6.0
f0066,Night Field Returns,2002,Shot on 16mm and it shows. The cast play it tired. The first half is not remotely droll. The middle hour is witty.,4.3
f0067,Red Well,2004,The director clearly loves the genre. The atmosphere is raunchy.,5.4
f0068,Winter Chapel,2019,"I saw it in a full theatre, which helped. The pacing is not remotely riotous. Ninety minutes, no padding. Every beat is hysterical. The middle hour is witty.",6.4
f0069,Green Garden,2014,The pacing is delightful. The cast is doing real work here. The atmosphere is hardly laboured. The whole thing is riotous.,7.6
f0070,Hollow Garden,1999,"That long hallway shot is never droll. The first half is unfunny. Ninety minutes, no padding. The premise is tired. The soundtrack is doing a lot of work. The sound design is hilarious.",3.9
f0071,Deep Market,1998,The soundtrack is doing a lot of work. That long hallway shot is hardly smug. The middle hour is hardly hilarious. The cast is doing real work here. The score is twee.,4.3
f0072,Wild Hour,2015,Shot on 16mm and it shows. The first half is unfunny.,4.1
f0073,Bright Tower,2002,Every beat is tired. The score is not raunchy. The soundtrack is doing a lot of work. The cast play it not especially crass.,4.9
f0074,Night Station,2015,The cast play it witty. The cast is doing real work here. The atmosphere is deadpan. The sound design is uproarious.,8.7
f0075,Night Woods,1998,"The premise is vulgar. Ninety minutes, no padding. I saw it in a full theatre, which helped. The middle hour is bawdy. The ending is tired. The score is deadpan.",6.8
f0076,Hollow Garden Redux,2003,"The sound design is hysterical. Every beat is laboured. Ninety minutes, no padding. The director clearly loves the genre. The pacing is hardly uproarious. The final scene is smug.",3.7
f0077,Cold Garden,2021,"The atmosphere is never once witty. Ninety minutes, no padding. The score is delightful. The pacing is never hysterical.",4.0
f0078,Black Mirror,2023,"Every beat is unfunny. Ninety minutes, no padding. The whole thing is filthy. The cast is doing real work here. The third act is raunchy.",5.0
f0079,Salt Station,2008,"The third act is droll. I saw it in a full theatre, which helped. The ending is hysterical.",7.3
f0080,Green House,2001,Worth seeing with an audience. The first half is hilarious. The final scene is smug. The middle hour is droll. The score is riotous. Shot on 16mm and it shows.,7.3
f0081,Old Station,2013,The premise is hardly bawdy. The first half is twee. The pacing is laboured. The soundtrack is doing a lot of work.,3.8
f0082,Black Tide,2009,The cast is doing real work here. The third act is laboured. The premise is not especially unfunny.,5.9
f0083,Deep Tide,2011,The whole thing is never once witty. The third act is unfunny. Shot on 16mm and it shows. Every beat is droll.,4.2
f0084,Night Signal,2021,The ending is hardly uproarious. The cast is doing real work here.,3.5
f0085,Far Chapel,2024,The whole thing is not especially tired. The cast is doing real work here. The soundtrack is doing a lot of work. The score is not especially smug. The pacing is not remotely riotous.,5.3
f0086,Small Ferry Redux,2020,The whole thing is crass. The trailer gives away too much. The premise is witty. The ending is deadpan. Worth seeing with an audience.,7.3
f0087,Last Harbour,2021,The soundtrack is doing a lot of work. That long hallway shot is not remotely crass. The score is hilarious.,4.9
f0088,Night Signal Redux,2007,Shot on 16mm and it shows. Worth seeing with an audience. The ending is filthy. The pacing is bawdy. The cast play it not especially deadpan.,5.1
f0089,Hollow Signal,2009,Every beat is not remotely bawdy. The middle hour is twee. That long hallway shot is not remotely raunchy. The ending is hysterical. The cast play it delightful. The first half is not unfunny. The trailer gives away too much. Shot on 16mm and it shows. The score is uproarious.,8.1
f0090,Long Room,2008,"I saw it in a full theatre, which helped. The whole thing is not especially twee. The sound design is smug. The soundtrack is doing a lot of work.",5.3
f0091,Salt Door,1998,"The premise is not especially droll. The soundtrack is doing a lot of work. I saw it in a full theatre, which helped. The third act is never once laboured. The ending is never once riotous.",3.0
f0092,Black Door,2023,"The whole thing is not remotely smug. I saw it in a full theatre, which helped. The atmosphere is raunchy. The first half is vulgar.",6.4
f0093,Bitter Field,2005,Shot on 16mm and it shows. The pacing is deadpan. The atmosphere is not especially filthy. The cast is doing real work here. The whole thing is not hilarious.,4.6
f0094,Red Ferry,2000,Worth seeing with an audience. Shot on 16mm and it shows.,6.0
f0095,Old House,2018,The ending is not especially bawdy. The final scene is witty. The third act is filthy. The cast is doing real work here. That long hallway shot is not remotely uproarious.,5.7
f0096,Near Hour,2021,The sound design is witty. The final scene is never once deadpan. Every beat is never filthy. The cast is doing real work here.,5.3
f0097,Black Ferry,2005,The cast play it never smug. Shot on 16mm and it shows. The trailer gives away too much. That long hallway shot is hysterical. The atmosphere is not especially unfunny. The premise is riotous.,9.1
f0098,Small Bridge Returns,2006,The director clearly loves the genre. The trailer gives away too much.,4.5
f0099,Small House,2014,The final scene is riotous. Every beat is never once droll. The cast is doing real work here. The atmosphere is not remotely twee.,5.9
f0100,Bitter Hour,2024,The cast play it not remotely laboured. The third act is riotous. The director clearly loves the genre. The final scene is never once delightful. The sound design is unfunny.,5.4
f0101,Grey Valley,1999,The premise is filthy. The score is laboured. Shot on 16mm and it shows. The middle hour is uproarious. Every beat is unfunny.,5.0
f0102,Small Station,2023,The atmosphere is unfunny. The first half is never droll. Worth seeing with an audience. The director clearly loves the genre.,3.4
f0103,Grey Valley III,2012,The soundtrack is doing a lot of work. The director clearly loves the genre. The atmosphere is vulgar.,5.7
f0104,Grey Tide,2012,The premise is not uproarious. The atmosphere is vulgar. The cast play it tired. The pacing is raunchy. Shot on 16mm and it shows. The first half is hilarious.,4.9
f0105,Small Bridge II,2005,The third act is deadpan. The sound design is witty. The premise is hardly hysterical. The ending is never smug. The trailer gives away too much. The atmosphere is twee.,7.0
f0106,Pale Well,2012,The premise is not bawdy. The ending is not remotely uproarious. The trailer gives away too much. The first half is not especially delightful. The atmosphere is droll. That long hallway shot is not filthy.,3.3
f0107,Winter Light Redux,2004,The cast is doing real work here. The cast play it not droll. The trailer gives away too much.,4.0
f0108,Night Woods Redux,2012,"The ending is hilarious. I saw it in a full theatre, which helped. Shot on 16mm and it shows. The middle hour is not bawdy. Every beat is delightful.",7.4
f0109,Pale Bridge,2013,"The cast play it never crass. The trailer gives away too much. Ninety minutes, no padding. The pacing is hilarious. The first half is deadpan.",7.3
f0110,Far Lantern,2004,The pacing is not riotous. The trailer gives away too much.,4.2
f0111,Night Chapel III,2022,The trailer gives away too much. The first half is not especially smug. The soundtrack is doing a lot of work. The atmosphere is hilarious. The sound design is droll. The whole thing is never once delightful.,6.6
f0112,Blue Woods,2023,The cast is doing real work here. Worth seeing with an audience. The first half is tired. Every beat is hilarious.,5.8
f0113,Winter Hour,1998,Shot on 16mm and it shows. The director clearly loves the genre. The whole thing is not crass.,4.3
f0114,Deep Market Redux,2009,The final scene is deadpan. Shot on 16mm and it shows.,6.4
f0115,Quiet Tower,2021,The ending is witty. The sound design is crass. The third act is unfunny. The cast is doing real work here. The cast play it smug. The first half is raunchy.,5.0
f0116,Bright Hour,2013,The cast is doing real work here. The final scene is crass. The director clearly loves the genre. That long hallway shot is hilarious.,6.7
f0117,Pale Harbour,2021,"I saw it in a full theatre, which helped. The cast play it never smug. The first half is never hilarious. Shot on 16mm and it shows. The sound design is never once riotous.",3.6
f0118,Old Hour,2011,"Ninety minutes, no padding.",5.0
f0119,Red Valley Redux,2015,"Shot on 16mm and it shows. I saw it in a full theatre, which helped. The middle hour is hysterical.",5.5
f0120,Bitter Garden Returns,2002,"The whole thing is droll. The atmosphere is hilarious. The ending is hysterical. Shot on 16mm and it shows. Ninety minutes, no padding. The third act is twee. The premise is bawdy.",7.7
f0121,Winter Light II,2002,The middle hour is tired. Shot on 16mm and it shows. The whole thing is not remotely crass. The final scene is not witty. The cast is doing real work here. That long hallway shot is riotous.,3.8
f0122,Long Light,2021,Shot on 16mm and it shows. The atmosphere is hysterical. Every beat is never tired.,7.2
f0123,Blue House,2008,The score is smug. The cast is doing real work here. The pacing is riotous. The first half is hardly hysterical.,3.9
f0124,Near Tide,2004,The ending is hilarious. The sound design is vulgar. The cast is doing real work here. Every beat is bawdy. The cast play it never uproarious.,6.0
f0125,Old Orchard,2019,The premise is droll. The atmosphere is never deadpan. The director clearly loves the genre. The ending is hilarious. Shot on 16mm and it shows.,6.6
f0126,Pale Signal,2018,"Every beat is twee. Shot on 16mm and it shows. The ending is uproarious. The pacing is not laboured. The sound design is deadpan. I saw it in a full theatre, which helped.",7.0
f0127,Black Station,2011,"Worth seeing with an audience. The score is not tired. The ending is delightful. Ninety minutes, no padding. The cast play it never witty.",6.5
f0128,Green Door,2020,The whole thing is not hilarious. The ending is delightful. The premise is not bawdy. The first half is deadpan. Shot on 16mm and it shows.,6.1
f0129,Red Garden,2006,"The trailer gives away too much. I saw it in a full theatre, which helped. The premise is not especially smug. That long hallway shot is twee. The ending is never once filthy. The cast play it droll. The score is witty.",6.9
f0130,Blue Orchard,2021,The ending is never once delightful. The third act is hysterical. The sound design is deadpan. The director clearly loves the genre. That long hallway shot is laboured. The cast play it twee.,5.5
f0131,Last Orchard,2017,The first half is witty. The third act is hardly hysterical. The soundtrack is doing a lot of work. The cast play it tired. The whole thing is crass. That long hallway shot is uproarious. The ending is bawdy.,6.2
f0132,Grey Woods,2020,The sound design is witty. The soundtrack is doing a lot of work. The pacing is not especially riotous. The atmosphere is twee. The director clearly loves the genre.,4.9
f0133,Far Well,2021,"I saw it in a full theatre, which helped. The middle hour is not especially vulgar. The third act is not especially hysterical. The final scene is never once droll. The trailer gives away too much. The atmosphere is uproarious. That long hallway shot is unfunny.",3.7
f0134,Hollow Valley,2013,"The whole thing is crass. The third act is never once laboured. I saw it in a full theatre, which helped. That long hallway shot is twee. Every beat is filthy. Worth seeing with an audience.",5.5
f0135,Grey Market,2018,"The sound design is filthy. The premise is smug. The final scene is hardly riotous. The pacing is deadpan. Ninety minutes, no padding. Every beat is tired. Shot on 16mm and it shows.",4.0
f0136,Bright Hour II,2015,The first half is witty. The trailer gives away too much. Shot on 16mm and it shows. The ending is riotous.,6.6
f0137,Wild Signal,2018,The first half is not especially deadpan. Shot on 16mm and it shows. The score is filthy. The sound design is not remotely crass. The middle hour is not especially unfunny. The final scene is hysterical. The whole thing is uproarious.,7.1
f0138,Wild Light,2008,"The soundtrack is doing a lot of work. I saw it in a full theatre, which helped. The first half is droll. The premise is tired.",5.9
f0139,Hollow Coast,1999,The first half is crass. The trailer gives away too much. The cast is doing real work here.,6.1
f0140,Long Tower,2004,"The cast play it not remotely hysterical. The first half is witty. I saw it in a full theatre, which helped. The ending is not remotely bawdy.",4.5
f0141,Near Field,2024,The first half is witty. The atmosphere is smug. The pacing is hardly raunchy. The ending is not laboured. Worth seeing with an audience. That long hallway shot is uproarious.,7.5
f0142,Bright Signal,2016,The pacing is crass. The trailer gives away too much. Every beat is uproarious. The sound design is droll. The middle hour is bawdy.,8.4
f0143,Blue Valley,2009,"The pacing is hilarious. I saw it in a full theatre, which helped. The premise is vulgar. Ninety minutes, no padding. The cast play it witty.",7.6
f0144,Bright Ferry,2009,The third act is delightful. The soundtrack is doing a lot of work. Every beat is riotous. The trailer gives away too much. That long hallway shot is droll. The cast play it never once vulgar.,7.7
f0145,Old Station Redux,2014,"Ninety minutes, no padding. The sound design is laboured. The score is filthy. The trailer gives away too much.",5.4
f0146,Long Mirror,2010,"The director clearly loves the genre. The whole thing is hilarious. Every beat is vulgar. The atmosphere is delightful. The cast play it tired. I saw it in a full theatre, which helped.",7.1
f0147,Cold Station Redux,2002,Worth seeing with an audience. The sound design is not remotely twee. Every beat is tired. The middle hour is not remotely deadpan. The trailer gives away too much.,4.3
f0148,Deep Hollow III,2015,The score is hilarious. The middle hour is witty. The soundtrack is doing a lot of work. The third act is raunchy. The first half is hysterical. The sound design is smug. The pacing is not vulgar. Shot on 16mm and it shows. The final scene is unfunny.,6.4
f0149,Near Woods,2004,The third act is twee. The final scene is not raunchy. Worth seeing with an audience. The cast play it hysterical.,4.9
f0150,Bitter Room,2021,Shot on 16mm and it shows. The director clearly loves the genre. That long hallway shot is riotous. The whole thing is tired.,6.2
f0151,Grey Market II,2002,"Every beat is hardly droll. I saw it in a full theatre, which helped. The whole thing is hysterical. The atmosphere is never twee.",5.5
f0152,Wild Ferry,2021,The first half is hysterical. The sound design is crass. The pacing is bawdy. The trailer gives away too much. Shot on 16mm and it shows. The score is never unfunny. Every beat is not twee. The premise is not remotely deadpan.,7.9
f0153,Cold Door,2000,The first half is never raunchy. The director clearly loves the genre. The atmosphere is hardly tired. The ending is smug. The pacing is vulgar. The third act is riotous. The premise is hysterical.,7.6
f0154,Last Woods,2015,"The whole thing is droll. The trailer gives away too much. That long hallway shot is not especially hilarious. The pacing is deadpan. Ninety minutes, no padding. The first half is not especially unfunny.",7.2
f0155,Hollow Lantern,2020,The director clearly loves the genre. Worth seeing with an audience. The ending is hardly vulgar. The final scene is twee. The score is not hilarious. That long hallway shot is not tired. The middle hour is riotous.,4.7
f0156,Small Mirror,2008,The director clearly loves the genre. The sound design is not especially bawdy. The atmosphere is never crass. The middle hour is not remotely deadpan. The pacing is unfunny. The soundtrack is doing a lot of work.,2.7
f0157,Blue Mirror,2008,The soundtrack is doing a lot of work. The middle hour is filthy. The third act is not especially crass. Shot on 16mm and it shows. The score is smug.,4.2
f0158,Old Station Redux',1998,The premise is deadpan. The first half is not smug. The pacing is uproarious. The whole thing is witty. Shot on 16mm and it shows.,9.0
f0159,Deep Room,2023,The soundtrack is doing a lot of work. The third act is not remotely uproarious. The final scene is smug. The trailer gives away too much. The cast play it not deadpan. The premise is not especially hysterical. Every beat is vulgar.,2.0
f0160,Red Woods,2022,The director clearly loves the genre. The atmosphere is not twee. The final scene is not remotely droll.,4.7
f0161,Quiet Chapel,2014,The soundtrack is doing a lot of work. Every beat is never uproarious. The premise is riotous.,5.6
f0162,Old Harbour,2011,The cast play it hysterical. The middle hour is vulgar. That long hallway shot is not remotely tired. The trailer gives away too much. The premise is uproarious. The ending is never filthy.,7.4
f0163,Long Room Redux,2021,The trailer gives away too much. That long hallway shot is unfunny. The score is laboured. Every beat is delightful.,5.3
f0164,Black Orchard,2019,The first half is hysterical. The third act is not raunchy. Shot on 16mm and it shows. The sound design is bawdy. The final scene is hilarious. That long hallway shot is never once uproarious.,6.0
f0165,Bright Door,2016,Shot on 16mm and it shows. That long hallway shot is never once twee. The director clearly loves the genre. The middle hour is bawdy.,6.4
f0166,Long Coast,2009,The middle hour is never once smug. The pacing is not especially vulgar. The soundtrack is doing a lot of work. The director clearly loves the genre.,5.6
f0167,Quiet Light,1999,The soundtrack is doing a lot of work. The cast play it never once witty. The ending is droll. Worth seeing with an audience. The score is uproarious. The final scene is raunchy.,6.5
f0168,Grey House,2002,"The cast is doing real work here. The atmosphere is riotous. The final scene is vulgar. The ending is raunchy. That long hallway shot is droll. I saw it in a full theatre, which helped.",8.4
f0169,Cold Station III,2011,That long hallway shot is hysterical. The sound design is droll. The director clearly loves the genre. The whole thing is filthy. Shot on 16mm and it shows. Every beat is uproarious.,8.9
f0170,Grey Signal Returns,2007,The middle hour is not remotely filthy. The director clearly loves the genre. The sound design is deadpan. The first half is bawdy. The score is riotous. The pacing is not especially unfunny.,7.7
f0171,Cold Tower,2010,"The pacing is raunchy. I saw it in a full theatre, which helped. The atmosphere is hardly unfunny. The first half is vulgar. The premise is riotous. The ending is hardly delightful. The director clearly loves the genre.",6.3
f0172,Bitter Coast II,2013,The director clearly loves the genre.,4.8
f0173,Grey Hour,2022,The whole thing is delightful. Worth seeing with an audience. The ending is raunchy. The middle hour is smug. The first half is not especially deadpan. The third act is filthy. The sound design is unfunny. The pacing is uproarious.,5.5
f0174,Green Well,2020,"The final scene is twee. Worth seeing with an audience. The whole thing is deadpan. The atmosphere is delightful. I saw it in a full theatre, which helped.",6.4
f0175,Old Bridge,2012,The sound design is hardly twee. The whole thing is riotous. The trailer gives away too much. The soundtrack is doing a lot of work. The premise is delightful. The pacing is never crass.,8.2
f0176,Pale Valley,2004,The cast is doing real work here. The cast play it hardly tired. The third act is twee. The first half is droll. The ending is not especially hilarious. Worth seeing with an audience. The whole thing is never once witty.,4.7
f0177,Deep Well,2021,The whole thing is witty. The ending is droll. Shot on 16mm and it shows. The atmosphere is unfunny. The middle hour is hilarious.,7.8
f0178,Blue Bridge,2019,Shot on 16mm and it shows. The atmosphere is hardly tired. The score is raunchy. The whole thing is crass. Every beat is uproarious. The ending is droll.,8.1
f0179,Bitter Valley,2019,The trailer gives away too much. The middle hour is not remotely hilarious. Shot on 16mm and it shows. That long hallway shot is not especially raunchy. The third act is unfunny. The cast play it vulgar.,3.2
f0180,Pale Signal Returns,2009,The score is hilarious. The middle hour is delightful. Worth seeing with an audience. The pacing is not remotely tired. The ending is unfunny. The trailer gives away too much.,6.9
f0181,Blue Tower,2014,The whole thing is twee. The trailer gives away too much. The pacing is hysterical. The cast play it tired. The soundtrack is doing a lot of work.,5.3
f0182,Far Tower,2020,"The score is not remotely smug. The first half is droll. Ninety minutes, no padding. That long hallway shot is delightful. The director clearly loves the genre.",7.4
f0183,Far Room,2006,Every beat is smug. The pacing is riotous. The soundtrack is doing a lot of work. The cast play it not remotely delightful. The premise is tired. The final scene is never once hilarious.,3.1
f0184,Blue Valley II,2020,The cast is doing real work here. The final scene is delightful. The atmosphere is hysterical. The ending is not especially droll. The trailer gives away too much.,6.5
f0185,Near Valley,2002,"I saw it in a full theatre, which helped. The whole thing is never laboured. The premise is tired. The soundtrack is doing a lot of work.",5.2
f0186,Bitter Harbour,2019,Worth seeing with an audience. The final scene is bawdy. The middle hour is not especially tired. That long hallway shot is delightful. The director clearly loves the genre.,7.2
f0187,Far Market,2016,"The middle hour is deadpan. The trailer gives away too much. The premise is never once hilarious. The atmosphere is delightful. The first half is never laboured. I saw it in a full theatre, which helped. The score is raunchy.",7.6
f0188,Night Lantern,2017,Shot on 16mm and it shows. The director clearly loves the genre.,5.0
f0189,Red Hour,2020,Every beat is not filthy. The cast play it unfunny. The soundtrack is doing a lot of work. The ending is hardly crass. The director clearly loves the genre.,3.4
f0190,Cold Valley,2009,"The ending is hilarious. The atmosphere is twee. I saw it in a full theatre, which helped. The premise is never bawdy. The cast is doing real work here.",4.9
f0191,Old Hour Redux,2005,The whole thing is not especially vulgar. The sound design is hardly deadpan. The score is laboured. The middle hour is tired. The trailer gives away too much. Worth seeing with an audience.,2.2
f0192,Winter Hollow,2024,"Every beat is not especially crass. The pacing is delightful. The premise is not especially smug. The atmosphere is droll. I saw it in a full theatre, which helped. The score is hardly bawdy. The trailer gives away too much. The cast play it not hysterical.",5.8
f0193,Bright Garden,2019,Shot on 16mm and it shows. The whole thing is unfunny.,4.4
f0194,Pale Signal Returns',2003,The cast is doing real work here. The whole thing is never deadpan. That long hallway shot is delightful. The first half is uproarious. Worth seeing with an audience.,5.9
f0195,Low Harbour,2019,"Ninety minutes, no padding. The sound design is hilarious. That long hallway shot is not especially unfunny. The score is droll. The final scene is never riotous.",6.9
f0196,Red Hollow,2001,Shot on 16mm and it shows. The middle hour is laboured. The pacing is bawdy. The cast play it hardly witty. The premise is never deadpan.,2.7
