case_id,title,observations
c091,The copied key,"key, wax, plaster of paris, cellar, london, glove, boots"
c092,The substituted picture,"picture, varnish, gum, cellar, london, glove, boots"
c093,The six busts of Napoleon,"bust, plaster of paris, cellar, london, night, boots, mud"
c094,The dancing figures on the sill,"cipher, chalk, sill, london, night, glove"
c095,The orange pips in the post,"orange pips, post bag, telegram, london, rain, night"
c096,The engineer's thumb,"engineer, press, bruise, lantern, night, rain, boots"
c097,The blue carbuncle in the crop,"goose, carbuncle, inn, london, tobacco, night"
c098,The trained mongoose,"mongoose, dog lash, straw, night, bruise, lantern"
c099,The noise in the attic,"attic, straw, candle, night, london, boots, mud"
c100,The whistle at three in the morning,"whistle, bell rope, night, ventilator, bruise, candle"
