recipe_id,name,ingredients
r052,Miso ramen,"miso, noodles, pork, spring onion, egg, garlic, ginger, chicken stock"
r053,Mapo tofu,"tofu, pork, doubanjiang, sichuan pepper, spring onion, garlic, ginger, soy sauce"
r054,Fried rice,"rice, egg, spring onion, peas, soy sauce, garlic, sesame oil"
r055,Kimchi jjigae,"kimchi, pork, tofu, spring onion, gochujang, garlic, soy sauce"
r056,Bibimbap,"rice, spinach, carrot, egg, gochujang, sesame oil, soy sauce, garlic"
r057,Pad thai,"noodles, tamarind, fish sauce, egg, peanuts, bean sprouts, spring onion, sugar"
r058,Green curry,"coconut milk, green curry paste, chicken, aubergine, basil, fish sauce, sugar"
r059,Tom yum,"prawns, lemongrass, lime, chilli, fish sauce, mushrooms, coriander"
r060,Teriyaki salmon,"salmon, soy sauce, mirin, sugar, ginger, sesame seeds"
r061,Gyoza,"pork, cabbage, garlic, ginger, spring onion, soy sauce, flour"
r062,Chicken katsu,"chicken, breadcrumbs, egg, flour, soy sauce, sugar, onion, carrot"
r063,Shepherd's pie,"lamb mince, potato, carrot, onion, tomato, beef stock, butter, salt"
r064,Cottage pie,"beef mince, potato, carrot, onion, beef stock, butter, salt"
r065,Fish pie,"white fish, potato, milk, butter, flour, parsley, egg, salt"
r066,Toad in the hole,"sausages, flour, eggs, milk, salt"
r067,Bubble and squeak,"potato, cabbage, onion, butter, salt"
r068,Bread and butter pudding,"stale bread, butter, eggs, milk, sugar, raisins, nutmeg"
r069,Scones,"flour, butter, sugar, milk, baking powder, salt"
r070,Victoria sponge,"flour, butter, sugar, eggs, baking powder, jam, vanilla"
r071,Shortbread,"flour, butter, sugar, salt"
r072,Apple crumble,"apples, flour, butter, sugar, oats, cinnamon"
r073,Banana bread,"bananas, flour, butter, sugar, eggs, baking powder, cinnamon"
r074,Pancakes,"flour, eggs, milk, butter, sugar, baking powder, salt"
r075,Cornbread,"cornmeal, flour, milk, eggs, butter, sugar, baking powder, salt"
r076,Mac and cheese,"pasta, cheddar, milk, butter, flour, mustard, breadcrumbs, salt"
r077,Clam chowder,"clams, potato, bacon, onion, cream, celery, thyme, salt"
r078,Chilli con carne,"beef mince, kidney beans, tomato, onion, garlic, cumin, chilli, paprika, salt"
r079,Cornish pasty,"flour, butter, beef, potato, swede, onion, pepper, salt"
r080,Fish and chips,"white fish, potato, flour, beer, salt"
r081,Guacamole,"avocado, lime, coriander, red onion, chilli, salt"
r082,Salsa roja,"tomato, chilli, onion, garlic, coriander, lime, salt"
r083,Refried beans,"pinto beans, onion, garlic, cumin, lard, salt"
r084,Tacos al pastor,"pork, pineapple, achiote, chilli, onion, coriander, lime"
r085,Mole poblano,"chilli, chocolate, tomato, almonds, sesame seeds, cinnamon, chicken stock"
r086,Ceviche,"white fish, lime, red onion, coriander, chilli, salt"
r087,Black bean soup,"black beans, onion, garlic, cumin, coriander, lime, chicken stock, salt"
r088,Arroz con pollo,"rice, chicken, onion, garlic, red pepper, peas, chicken stock, saffron, salt"
r089,Greek salad,"tomato, cucumber, feta, olives, red onion, oregano, olive oil, salt"
r090,Caesar salad,"lettuce, anchovy, parmesan, egg, garlic, lemon, stale bread, olive oil"
r091,Waldorf salad,"apples, celery, walnuts, grapes, mayonnaise, lemon, salt"
r092,Coleslaw,"cabbage, carrot, mayonnaise, vinegar, mustard, salt"
r093,Potato salad,"potato, mayonnaise, mustard, spring onion, egg, vinegar, salt"
r094,Tzatziki,"yoghurt, cucumber, garlic, mint, lemon, olive oil, salt"
r095,Beetroot and feta salad,"beetroot, feta, walnuts, rocket, lemon, olive oil, salt"
r096,Roasted carrot and harissa salad,"carrot, harissa, yoghurt, coriander, lemon, olive oil, salt"
r097,Cauliflower with zaatar,"cauliflower, zaatar, lemon, olive oil, garlic, salt"
r098,Braised lentils with anchovy,"lentils, anchovy, carrot, celery, onion, garlic, olive oil, salt"
r099,Nduja pasta,"pasta, nduja, tomato, garlic, parmesan, olive oil, salt"
r100,Spiced chickpeas with sumac,"chickpeas, sumac, red onion, parsley, lemon, olive oil, salt"
