english	spanish	accepted_es	accepted_en	split
i cant do anything	no puedo hacer nada	no puedo hacer nada	i cant do anything	test
see you later !	¡ hasta luego !	¡ hasta luego !|¡ nos vemos !	goodbye !|see you later !|see you soon !	test
they can fish	saben pescar	ellos saben pescar|pueden pescar|saben pescar	they can fish	test
i get you	te entiendo	te entiendo	i get you|i understand you	test
she came home	ella volvió a casa	ella volvió a casa	she came home	test
i was sick	yo estaba enfermo	yo estaba enferma|yo estaba enfermo	i was sick	test
she teaches us english	ella nos enseña inglés	ella nos enseña inglés	she teaches us english	test
tom misled us	tom nos engañó	tom nos engañó	tom misled us	test
hold it !	espera	espera	hold it !	test
please do it quickly	por favor hazlo rápido	por favor hazlo rápido	please do it quickly	test
dont forget about me	no me olvides	no me olvides	dont forget about me	test
we have good news	tenemos buenas noticias	tenemos buenas noticias	we have good news	test
i am smart	soy inteligente	soy inteligente	i am smart|im wise	test
i feel like singing	tengo ganas de cantar	tengo ganas de cantar	i feel like singing	test
its really cold	hace mucho frío	hace mucho frío	its really cold|its very cold	test
he is my teacher	él es mi profesor	él es mi profesor	he is my teacher	test
its delicious !	¡ está delicioso !	¡ está delicioso !	its delicious !	test
it was dark green	era verde oscuro	era verde oscuro	it was dark green	test
youre still young	todavía son jóvenes	todavía eres joven|todavía son jóvenes|ustedes aún son jóvenes	theyre still young|youre still young	test
i know it hurts	sé que duele	sé que duele	i know it hurts	test
excuse me im lost	disculpe me he perdido	disculpe me he perdido	excuse me im lost	test
i like speaking french	me gusta hablar francés	me gusta hablar francés	i like speaking french	test
tom wants something different	tom quiere algo diferente	tom quiere algo diferente	tom wants something different	test
my cat died yesterday	mi gato murió ayer	mi gato murió ayer	my cat died yesterday	test
he loves the son	él ama al hijo	él ama al hijo	he loves the son	test
call your brother	llama a tu hermano	llama a tu hermano	call your brother	test
tom is strong	tom es fuerte	tom es fuerte	tom is strong|toms strong	test
he began to sing	él empezó a cantar	él empezó a cantar	he began to sing|he started singing	test
the answer is simple	la respuesta es simple	la respuesta es simple	the answer is simple	test
youre probably tired	probablemente estás cansado	probablemente estás cansado	youre probably tired	test
were very happy together	somos muy felices juntos	somos muy felices juntos	were very happy together	test
im always late	siempre estoy atrasado	siempre estoy atrasado	im always late	test
its new	es nuevo	es nuevo	it is new|its new|thats new	test
im not that famous	no soy tan famoso	no soy tan famoso	im not that famous	test
were ready to go	estamos listos para partir	estamos listos para partir	were ready to go|were ready to leave	test
i play tennis	juego al tenis	juego al tenis|yo juego tenis	i play tennis	test
that doesnt sound good	eso no suena bien	eso no suena bien	that doesnt sound good	test
dont eat without me	no comas sin mí	no comas sin mí	dont eat without me	test
come on home	vuelve a casa	vuelve a casa	come back home|come on home	test
look at this	mira esto	mira esto	look at this|watch this	test
its all right	todo está bien	todo está bien	all is well|everything is all right|everything is fine|everything is ok|everythings fine|its all ok|its all right	test
he was deeply moved	él estaba profundamente emocionado	estaba profundamente emocionado|él estaba profundamente emocionado	he was deeply moved	test
are you hungry ?	¿ tienes hambre ?	¿ tienes hambre ?	are you hungry ?|hungry ?	test
were not rich	no somos ricos	no somos ricos	were not rich	test
im so full	estoy tan lleno	estoy tan lleno	im so full	test
the girls won	ganaron las chicas	ganaron las chicas	the girls won	test
ill call them	los llamaré	los llamaré	ill call them	test
he let us go	nos dejó irnos	nos dejó irnos	he let us go	test
she was very happy	ella estaba muy feliz	ella estaba muy feliz	she was very happy	test
we need more food	necesitamos más comida	necesitamos más comida	we need more food	test
im loved	soy amado	soy amado	im loved	test
mary is pregnant	mary está embarazada	mary está embarazada	mary is pregnant	test
god is bad	dios es malo	dios es malo	god is bad	test
its old	es viejo	es viejo	its old	test
this problem seems difficult	este problema parece difícil	este problema parece difícil	this problem seems difficult	test
we did our work	hicimos nuestro trabajo	hicimos nuestro trabajo	we did our work	test
theyre coming back	ellas están de vuelta	ellas están de vuelta	theyre back|theyre coming back	test
i love life	amo la vida	amo la vida	i love life	test
im eating	estoy comiendo	estoy comiendo	i am eating|im eating	test
he was born dumb	él nació estúpido	él nació estúpido	he was born dumb	test
he is speaking quickly	está hablando rápido	está hablando rápido	he is speaking quickly	test
we are not young	no somos jóvenes	no somos jóvenes	we are not young|we arent young	test
you may also come	tú también puedes venir	tú también puedes venir	you may also come	test
youre sweet	eres muy dulce	eres muy dulce	youre sweet|youre very sweet	test
tom worked	tom trabajó	tom trabajó	tom worked	test
tom wants the best	tom quiere lo mejor	tom quiere lo mejor	tom wants the best	test
im trapped	estoy atrapado	estoy atrapado	im trapped	test
i was afraid	tenía miedo	tenía miedo	i was afraid	test
theres somebody there	hay alguien ahí	hay alguien ahí	theres somebody there	test
im a cat	soy un gato	soy un gato	i am a cat|im a cat	test
the rain stopped	dejó de llover	dejó de llover|la lluvia paró|paró de llover	the rain stopped	test
my father is busy	mi padre está ocupado	mi padre está ocupado	my father is busy	test
tom bought flowers	tom compró flores	tom compró flores	tom bought flowers	test
he is very kind	es muy amable	es muy amable|él es muy amable	he is very kind	test
thats hard to say	es difícil de decir	es difícil de decir	thats hard to say	test
the world is sick	el mundo está enfermo	el mundo está enfermo	the world is sick	test
tom is very tired	tom está muy cansado	tom está muy cansado	tom is very tired	test
thats nice	es agradable	es agradable|eso es bueno|está bien	its nice|thats nice	test
theres room	hay lugar	hay lugar	theres room	test
its a difficult question	es una pregunta difícil	es una pregunta difícil	its a difficult question|its a hard question	test
im not very hungry	no tengo mucha hambre	no tengo mucha hambre	im not very hungry	test
it is very short	es muy corto	es muy corto	it is very short|its too short|its very short	test
i think youre right	pienso que tienes razón	creo que tenéis razón|creo que tienes razón|pienso que tienes razón	i think youre right	test
now leave us	ahora déjanos	ahora déjanos	now leave us	test
youre still smiling	todavía estás sonriendo	todavía estás sonriendo	youre still smiling	test
the car is black	el carro es negro	el carro es negro	the car is black	test
wait for them	espera por ellos	espera por ellos	wait for them	test
im with him	estoy con él	estoy con él	im with him	test
we live in peace	vivimos en paz	vivimos en paz	we live in peace	test
i should learn french	debería aprender francés	debería aprender francés	i should learn french	test
we should study together	deberíamos estudiar juntos	deberíamos estudiar juntos	we should study together	test
ive been running	he estado corriendo	he estado corriendo	ive been running	test
please think about it	piénsalo por favor	piénsalo por favor	please think about it	test
i want to learn	quiero aprender	quiero aprender	i want to learn	test
tom was very patient	tomás tenía mucha paciencia	tomás tenía mucha paciencia	tom was very patient	test
toms waiting for you	tom te está esperando	tom te está esperando	toms waiting for you	test
i helped tony	le ayudé a tony	le ayudé a tony	i helped tony	test
i changed my mind	cambié de idea	cambié de idea	i changed my mind|ive changed my mind	test
this is impossible	es imposible	es imposible|eso es imposible	its impossible|thats impossible|this is impossible	test
tom is still asleep	tomás todavía está durmiendo	tomás todavía está durmiendo	tom is still asleep|tom is still sleeping	test
sit down please !	por favor siéntate	por favor siéntate|por favor siéntense|sentate por favor|siéntate por favor|siéntense por favor	please sit|sit down please !	test
he changed his address	él cambió su dirección	él cambió su dirección	he changed his address	test
reading makes me happy	leer me hace feliz	leer me hace feliz	reading makes me happy	test
open the bag	abra la bolsa	abra la bolsa|abran la bolsa|abre la bolsa	open the bag	test
just like here	como aquí	como aquí	i eat here|just like here	test
shes very lonely	ella está muy sola	ella está muy sola	shes very lonely	test
we like girls	nos gustan las chicas	nos gustan las chicas	we like girls	test
come help me	ven a ayudarme	ven a ayudarme	come and help me|come help me|come to help me	test
someone is watching them	alguien los está mirando	alguien los está mirando	someone is watching them	test
its the perfect number	es el número perfecto	es el número perfecto	its the perfect number	test
youre lucky	tenés suerte	tenés suerte	youre lucky	test
i am totally confused	estoy completamente confundido	estoy completamente confundido	i am totally confused	test
dont speak so fast	no hables tan rápido	no hables tan rápido	dont speak so fast	test
he teaches arabic	él enseña árabe	él enseña árabe	he teaches arabic	test
i forgot her name	he olvidado su nombre	he olvidado su nombre|olvidé su nombre	i forget his name|i forgot her name|i forgot his name	test
this is wonderful	esto es maravilloso	esto es maravilloso	this is wonderful	test
youre pretty good	eres muy bueno	eres muy buena|eres muy bueno	youre pretty good	test
tom was really surprised	tom estaba realmente sorprendido	tom estaba realmente sorprendido	tom was really surprised	test
just stand up	solo levántate	solo levántate	just stand up	test
i hate that movie	odio esa película	odio esa película	i hate that movie	test
come on inside	ven entra	entra|ven entra	come on inside	test
youre on time	estás a tiempo	estás a tiempo	youre on time	test
i need those shoes	necesito esos zapatos	necesito esos zapatos	i need those shoes	test
come and see me	venid a verme	ven a verme|venid a verme	come and see me|come see me	test
this is really bad	esto está muy malo	esto está muy malo	this is really bad|this is very bad	test
i love her	la amo	la amo	i love her|i love you	test
im your friend	soy tu amigo	soy tu amiga|soy tu amigo	i am your friend|im your friend	test
theyre listening	están escuchando	están escuchando	theyre listening	test
anyone can do it	cualquiera puede hacerlo	cualquiera puede hacerlo	anyone can do it	test
i love my parents	amo a mis padres	amo a mis padres	i love my parents	test
you speak very slowly	habla muy despacio	habla muy despacio	he speaks very slowly|she speaks very slowly|you speak very slowly	test
he can swim well	él puede nadar bien	él puede nadar bien|él sabe nadar bien	he can swim well	test
im not young anymore	ya no soy joven	ya no soy joven	im not young anymore	test
im young	soy joven	soy joven	im young	test
im close	estoy cerca	estoy cerca	im close	test
its our job	es nuestro trabajo	es nuestro trabajo	its our job	test
youve already won	ya has ganado	ya has ganado	youve already won	test
okay	¡ órale !	bueno|vale|¡ órale !	all right|come on|come on !|cool !|go away|go away !|great !|lets go|lets go !|ok|okay|sweet !|understood	test
the boy was full	el niño estaba lleno	el niño estaba lleno	the boy was full	test
stop there	detente ahí	detente ahí	stop there	test
i have no problem	no tengo ningún problema	no tengo ningún problema	i have no problem	test
im at home	estoy en casa	estoy en casa|estoy en la casa|ya estoy en casa	i am at home|im at home|im home	test
i was naive	yo era ingenuo	yo era ingenuo	i was naive	test
you cant go there	no puedes ir ahí	no puedes ir ahí	you cant go there	test
we mean it	eso queremos decir	eso queremos decir	we mean it	test
its there now	ahora está ahí	ahora está ahí	its there now	test
ill let them know	les haré saber	les haré saber	ill let them know	test
i remember tom	me acuerdo de tom	me acuerdo de tom	i remember tom	test
now i live here	vivo aquí ahora	vivo aquí ahora	now i live here	test
he believes in god	él cree en dios	él cree en dios	he believes in god	test
mary was beautiful	mary era hermosa	mary era hermosa	mary was beautiful	test
its three oclock	son las tres	son las tres	its three oclock	test
i feel for you	lo siento por ti	lo siento por ti	i feel for you|im sorry for you	test
never mind !	olvídalo	olvídalo	forget him|forget it|never mind|never mind !	test
this is so crazy	esto es tan loco	esto es tan loco	this is so crazy	test
wait right here	espera justo aquí	espera justo aquí	wait right here	test
tom saw her	tom la vio	tom la vio	tom saw her	test
its my turn	es mi turno	es mi turno|me toca	its my turn	test
thats all	eso es todo	eso es todo	that is all|thats about it|thats all	test
here are our books	aquí están nuestros libros	aquí están nuestros libros	here are our books	test
nobody needs to talk	nadie tiene que hablar	nadie tiene que hablar	nobody needs to talk	test
count me in	cuenta conmigo	cuenta conmigo	count me in|count on me	test
tom eats a lot	tom come mucho	tom come mucho	tom eats a lot	test
please wait here	espere aquí por favor	esperad aquí por favor|espere aquí por favor	please wait here	test
this isnt sugar	esto no es azúcar	esto no es azúcar	this isnt sugar	test
i cant explain it	no lo puedo explicar	no lo puedo explicar	i cant explain it	test
how beautiful !	¡ qué bonito !	¡ qué bonito !	how beautiful !	test
she lost her dog	perdió a su perro	perdió a su perro	she lost her dog	test
this place is great	este lugar es estupendo	este lugar es estupendo	this place is great	test
the sun is white	el sol es blanco	el sol es blanco	the sun is white	test
you understand me	usted me entiende	tú me entiendes|usted me entiende	you understand me	test
nobody believes me	nadie me cree	nadie me cree	no one believes me|nobody believes me	test
come back to boston	vuelve a boston	vuelve a boston	come back to boston	test
trust me	confía en mi	confía en mi|confía en mí	trust me	test
i do remember	claro que recuerdo	claro que recuerdo|sí yo recuerdo	i do remember	test
welcome to our home	bienvenido a nuestro hogar	bienvenido a nuestro hogar	welcome to our home	test
she looks bored	ella parece aburrida	ella parece aburrida	she looks bored	test
tom betrayed me	tom me traicionó	tom me traicionó	tom betrayed me|tom has betrayed me	test
please tell me	dime por favor	dime por favor	please tell me	test
hi guys	hola por aquí	buenas|hola por aquí	hi guys	test
weve come home	hemos venido a casa	hemos venido a casa	weve come home	test
we watched a movie	vimos una película	vimos una película	we watched a movie	test
dont leave me alone	no me dejes solo	no me dejes solo	dont leave me alone	test
i sure am lucky	qué suerte que tengo	qué suerte que tengo	i sure am lucky	test
she loves coffee	le encanta el café	le encanta el café	he loves coffee|she loves coffee	test
ill phone you later	te llamo luego	te llamo luego	ill call you later|ill phone you later	test
its nice	es agradable	es agradable|hace buen tiempo	its nice|thats nice	test
thats a big problem	es un gran problema	es un gran problema	thats a big problem	test
tom is studying	tom está estudiando	tom está estudiando	tom is studying	test
tom speaks russian	tom habla ruso	tom habla ruso	tom speaks russian	test
no one knows yet	nadie sabe todavía	nadie sabe todavía	no one knows yet	test
i called him up	lo llamé	lo llamé	i called him up	test
it was like that	era así	era así	it was like that	test
take this !	¡ tome esto !	¡ toma esto !|¡ tome esto !	take this !	test
they like snow	les gusta la nieve	les gusta la nieve	they like snow	test
theres a serious problem	hay un problema serio	hay un problema serio	theres a serious problem	test
ill be ok	estaré bien	estaré bien	ill be fine|ill be ok	test
he came in person	él vino en persona	él vino en persona	he came in person	test
i can sing	puedo cantar	puedo cantar	i can sing	test
my soup is cold	mi sopa está fría	mi sopa está fría	my soup is cold	test
theyre old friends	ellos son viejos amigos	ellos son viejos amigos	theyre old friends	test
everything is stupid	todo es tonto	todo es tonto	everything is stupid	test
thats not a question	no es una pregunta	no es una pregunta	thats not a question	test
for what ?	¿ para qué ?	¿ para qué ?	for what ?|what for ?	test
the time has come	ha llegado el momento	ha llegado el momento	its time|the time has come	test
i have time	tengo tiempo	tengo tiempo	i have time|ive got time	test
i already called him	ya lo llamé	ya lo llamé	i already called him	test
stop right there	párate ahí mismo	párate ahí mismo	stop right there	test
were married	estamos casados	estamos casados	were married	test
im full	estoy lleno	estoy lleno	i am full|im full	test
were all hungry	todos tenemos hambre	todos tenemos hambre	were all hungry	test
come with me !	¡ ven conmigo !	¡ ven conmigo !	come with me !	test
dont stop here	no pares aquí	no pares aquí	dont stop here	test
it looked cheap	se veía barato	se veía barato	it looked cheap	test
this is a girl	esto es una niña	esto es una niña	this is a girl	test
this is a name	esto es un nombre	esto es un nombre	this is a name	test
im disappointed with you	me has decepcionado	estoy decepcionado de ti|me has decepcionado	im disappointed with you|you disappointed me	test
dont leave me again	no me dejes nuevamente	no me dejes nuevamente	dont leave me again	test
im embarrassed	estoy avergonzado	estoy avergonzado	i am embarrassed|im embarrassed	test
i know her secret	yo sé su secreto	yo sé su secreto	i know her secret|i know his secret	test
thats my problem	ese es mi problema	ese es mi problema	thats my problem	test
i take it	lo tomo	lo tomo	i take him|i take it|ill take him|ill take it	test
she doesnt exist	ella no existe	ella no existe	she doesnt exist	test
tom wanted money	tom quería dinero	tom quería dinero	tom wanted money	test
youve done your homework	habéis hecho los deberes	habéis hecho los deberes	youve done your homework	test
i like english better	prefiero el inglés	prefiero el inglés	i like english better	test
people are talking	la gente está hablando	la gente está hablando	people are talking	test
she has nothing	no tiene nada	no tiene nada	he has nothing|she has nothing	test
well youve found it	pues lo has conseguido	pues lo has conseguido	well youve found it	test
it is warm	hace calor	hace calor	it is hot|it is warm|its hot	test
he worked very hard	él trabajó muy duro	él trabajó muy duro	he worked very hard	test
its not very fun	no es muy divertido	no es muy divertido	its not very fun	test
their number is great	su número es grande	su número es grande	their number is great	test
i share his opinion	comparto su opinión	comparto su opinión	i share his opinion	test
tom might be canadian	tom podría ser canadiense	tom podría ser canadiense	tom might be canadian	test
i know his name	conozco su nombre	conozco su nombre|sé cómo se llama|sé su nombre	i know his name	test
i can buy two	yo puedo comprar dos	yo puedo comprar dos	i can buy two	test
ive already said no	ya dije que no	ya dije que no	ive already said no	test
its dangerous !	es peligroso	es peligroso	its dangerous !	test
its not broken	no está roto	no está roto	its not broken	test
it makes us better	nos hace mejor	nos hace mejor	it makes us better	test
we were all tired	estábamos todos cansados	estábamos todos cansados	we were all tired	test
im extremely tired	estoy extremadamente cansado	estoy extremadamente cansado	im extremely tired	test
im watching tv	estoy viendo la tele	estoy viendo la tele	im watching tv	test
everything stopped	todo paró	todo paró	everything stopped	test
i hate her now	la odio ahora	la odio ahora	i hate her now	test
i cook well	soy buena para cocinar	soy buena para cocinar	i cook well|im a good cook|im good at cooking	test
yes im coming immediately	sí voy inmediatamente	sí voy inmediatamente	yes im coming immediately	test
i ate it	me lo comí	me la comí|me lo comí	i ate him|i ate it	test
im still worried	todavía estoy preocupado	todavía estoy preocupado	im still worried	test
tom is very tall	tom es muy alto	tom es muy alto	tom is very tall	test
the book is new	el libro es nuevo	el libro es nuevo	the book is new	test
i wanted to fight	quería luchar	quería luchar	i wanted to fight	test
i have money	tengo dinero	tengo dinero	i have money	test
we help them	los ayudamos	las ayudamos|los ayudamos|nosotras las ayudamos|nosotras los ayudamos|nosotros las ayudamos|nosotros los ayudamos	we help them	test
they were swimming	ellas estaban nadando	ellas estaban nadando	they were swimming	test
he is tony	él es tony	él es tony	he is tony	test
money is needed	hace falta dinero	hace falta dinero	money is needed	test
those apples are big	esas manzanas son grandes	esas manzanas son grandes	those apples are big	test
i myself saw it	lo vi yo mismo	lo vi yo mismo	i myself saw it	test
there was no hurry	no había prisa	no había prisa	there was no hurry	test
she didnt go far	ella no fue lejos	ella no fue lejos	she didnt go far	test
come on !	¡ órale !	¡ órale !	all right|come on|come on !|cool !|go away|go away !|great !|lets go|lets go !|ok|okay|sweet !|understood	test
that looks good	tiene buen aspecto	tiene buen aspecto	he looks well|she looks well|that looks good	test
the man is young	el hombre es joven	el hombre es joven	the man is young	test
ive already eaten	ya he comido	ya he comido	ive already eaten	test
tom needs a friend	tom necesita un amigo	tom necesita un amigo	tom needs a friend	test
i changed the sentence	cambié la frase	cambié la frase	i changed the sentence	test
he doesnt drink	él no bebe	él no bebe	he doesnt drink	test
youre first	tú vas primero	te toca primero|tú eres el primero|tú vas el primero|tú vas primero	youre first	test
you are the one	tú eres aquel	tú eres aquel	you are the one	test
theres a cat there	hay un gato ahí	hay un gato ahí	theres a cat there	test
we love it here	nos encanta estar aquí	nos encanta estar aquí	we love it here	test
how curious !	¡ qué curioso !	¡ qué curioso !	how curious !	test
lets come back	volvamos	volvamos	lets come back|lets go back|lets turn back	test
tom is learning	tom está aprendiendo	tom está aprendiendo	tom is learning	test
he also speaks french	también habla francés	también habla francés	he also speaks french|she also speaks french	test
its tom	es tom	es tom	its tom	test
he stole my watch	él robó mi reloj	me robó el reloj|él robó mi reloj	he stole my watch	test
they seem happy	parecen felices	ellos se ven felices|parecen felices	they look happy|they seem happy	test
welcome	bienvenidas	bienvenida|bienvenidas|bienvenidos|¡ bienvenido !	welcome	test
yours is worse	el vuestro es peor	el tuyo es peor|el vuestro es peor	yours is worse	test
tom eats very little	tom come muy poco	tom come muy poco	tom eats very little	test
there isnt any problem	no hay ningún problema	no hay ningún problema	there are no problems|there isnt any problem|theres no problem	test
these arent words	esas no son palabras	esas no son palabras|estas no son palabras	these are not words|these arent words	test
it was black	era negro	era negro	it was black	test
i missed the bus	perdí el bus	perdí el bus	i missed the bus	test
theres no problem	no hay problema	no hay ningún problema|no hay problema	there is no problem|theres no problem	test
you went there	tú fuiste ahí	tú fuiste ahí	you went there	test
this tea tastes good	este té está bueno	este té está bueno	this tea tastes good	test
im fair	soy justo	soy justo	im fair	test
stand up for yourself	levántate por ti mismo	levántate por ti mismo	stand up for yourself	test
shes not fat	no está gorda	no está gorda	shes not fat	test
tom had nothing	tom no tenía nada	tom no tenía nada	tom had nothing	test
tom didnt see you	tom no te vio	tom no te vio	tom didnt see you	test
tom felt trapped	tom se sintió atrapado	tom se sentía atrapado|tom se sintió atrapado	tom felt trapped	test
i love my daughter	quiero a mi hija	quiero a mi hija	i love my daughter	test
no im not singing	no no estoy cantando	no no estoy cantando	no im not singing	test
he called my name	él dijo mi nombre	él dijo mi nombre	he called my name	test
tell me !	¡ cuéntame !	¡ cuéntame !	tell me !	test
he should come	debería venir	debería venir	he should come	test
she walked very carefully	caminó con mucho cuidado	caminó con mucho cuidado	she walked very carefully	test
coffee is ready	el café está listo	el café está listo	coffee is ready	test
he is in trouble	él está en problemas	él está en problemas	he is in trouble	test
thats another matter	eso es otro problema	eso es otra cosa|eso es otro problema	that is another matter|thats another matter	test
lets try something	intentemos algo	intentemos algo|¡ intentemos algo !	lets try something	test
hes still young	todavía es joven	todavía es joven	hes still young|shes still young	test
that horse is white	aquel caballo es blanco	aquel caballo es blanco|ese caballo es blanco	that horse is white	test
youve done that	has hecho eso	has hecho eso	youve done that	test
they dont want it	no lo quieren	no lo quieren	they dont want it	test
no way !	¡ imposible !	¡ imposible !	impossible !|no way !	test
he may be there	él puede estar allá	él puede estar allá	he may be there	test
i was very afraid	estaba muy asustado	estaba muy asustado	i was very afraid	test
it has to stop	tiene que parar	tiene que parar	it has to stop	test
nobody did anything	nadie hizo nada	nadie hizo nada	nobody did anything	test
no way	de eso nada	de eso nada	no way	test
i am learning chinese	estoy aprendiendo chino	estoy aprendiendo chino	i am learning chinese|im learning chinese	test
we eat at six	comemos a las seis	comemos a las seis	we eat at six	test
im a student too	también soy estudiante	también soy estudiante	im a student too	test
i read a letter	leí una carta	estoy leyendo una carta|leo una carta|leí una carta	i read a letter	test
im not angry	no estoy enojada	no estoy enojada	im not angry	test
tom understands	tomás entiende	tomás entiende	tom understands	test
keep it up !	¡ continúa !	¡ continúa !	keep it up !	test
yanni drinks too much	yanni bebe demasiado	yanni bebe demasiado	yanni drinks too much	test
theyre really tight	son muy buenos amigos	son muy buenos amigos	theyre really tight	test
here anything can happen	aquí todo puede pasar	aquí todo puede pasar	here anything can happen	test
return immediately	vuelve inmediatamente	vuelve inmediatamente	return immediately	test
tom will come later	tom vendrá más tarde	tom vendrá más tarde	tom will come later	test
it may return	quizá vuelva	quizá vuelva	he may come back|he may return|he might come back|he might return|it may come back|it may return|it might come back|it might return|she may come back|she may return|she might come back|she might return|you may come back|you may return|you might come back|you might return	test
i talk to myself	yo hablo conmigo mismo	yo hablo conmigo mismo	i talk to myself	test
tom won	tom ganó	tom ganó	tom won	test
dont call her now	no la llames ahora	no la llames ahora	dont call her now|dont phone her now	test
i understand why	entiendo por qué	comprendo por qué|entiendo por qué	i understand why	test
im a teacher too	yo también soy profesor	yo también soy profesor	im a teacher too	test
youve got to go	tienes que irte	tienes que irte	you have to go|you must leave|youve got to go	test
she works hard	ella trabaja duro	ella trabaja duro	she works hard	test
i want to call	quiero llamar	quiero llamar	i want to call	test
im not english	no soy inglés	no soy inglés	im not english|no i am english|no im english	test
leave this here	deja eso aquí	deja eso aquí	leave this here	test
smell this	huele esto	huele esto	smell this	test
im studying music	estoy estudiando música	estoy estudiando música	im studying music	test
he writes a letter	él escribe una carta	él escribe una carta	he writes a letter	test
who died ?	¿ quién murió ?	¿ quién murió ?	who died ?	test
id rather walk	preferiría caminar	preferiría caminar	id rather walk	test
i know that well	yo sé eso bien	sé eso bien|yo sé eso bien	i know that well	test
you have already eaten	ya ha comido	ya ha comido	he has already eaten|she has already eaten|you have already eaten	test
love doesnt exist	el amor no existe	el amor no existe	love doesnt exist	test
tom gave me something	tom me dio algo	tom me dio algo	tom gave me something	test
he needs glasses	él necesita gafas	él necesita gafas|él necesita lentes	he needs glasses	test
hes so stupid	es muy tonto	es muy tonto	hes so stupid	test
thanks for your help	gracias por tu ayuda	gracias por tu ayuda	thanks for your help	test
the bicycle is mine	la bicicleta es mía	la bicicleta es mía	the bicycle is mine	test
i still love tom	todavía amo a tom	todavía amo a tom	i still love tom	test
i hate working	odio trabajar	detesto trabajar|odio trabajar	i hate working	test
she loves cats	ella adora los gatos	ella adora los gatos	she loves cats	test
tom is very rich	tom es muy rico	tom es muy rico	tom is very rich	test
theyre students	son estudiantes	son estudiantes	theyre students	test
ill call you later	te llamo luego	te llamo luego	ill call you later|ill phone you later	test
i helped them yesterday	ayer les ayudé	ayer les ayudé	i helped them yesterday	test
she smiled at me	ella me sonrió	ella me sonrió	she smiled at me	test
it isnt a fish	no es un pez	no es un pez	it isnt a fish|its not a fish	test
tom shut his mouth	tom cerró la boca	tom cerró la boca	tom closed his mouth|tom shut his mouth	test
water is important	el agua es importante	el agua es importante	water is important	test
it seems strange	parece extraño	parece extraño	it seems strange	test
were in boston	estamos en boston	estamos en boston	were in boston	test
tom doesnt know french	tom no sabe francés	tom no sabe francés	tom doesnt know french	test
we like him	él nos agrada	él nos agrada	we like him	test
i want another	quiero otro	quiero otro	i want another	test
im not busy now	no estoy ocupada ahora	ahora no estoy ocupado|no estoy ocupada ahora	im not busy now	test
cold water please	agua fría por favor	agua fría por favor	cold water please	test
im on the phone	estoy en el teléfono	estoy al teléfono|estoy en el teléfono	im on the phone	test
it happened	eso sucedió	eso sucedió|pasó	it happened	test
her bicycle is blue	su bicicleta es azul	su bicicleta es azul	her bicycle is blue|his bicycle is blue	test
there is no water	no hay agua	no hay agua	there is no water|theres no water	test
its my umbrella	es mi paraguas	es mi paraguas	its my umbrella	test
tom isnt dead	tom no ha muerto	tom no ha muerto	tom is not dead|tom isnt dead	test
hold on one second	espera un segundo	espera un segundo	hold on one second|just hang in there|wait one second	test
dont worry about it	no te preocupes	no te preocupes	dont worry|dont worry about it	test
im in my car	estoy en mi coche	estoy en mi coche	im in my car	test
ill come back soon	voy a volver pronto	volveré pronto|voy a volver pronto	ill be back soon|ill come back soon	test
tom is very forgetful	tom es muy olvidadizo	tom es muy olvidadizo	tom is very forgetful	test
i believe your story	yo creo tu historia	yo creo tu historia	i believe your story	test
